screen_size,rear_camera_mp,front_camera_mp,ram,battery,weight,normalized_used_price
16.23,13.0,32.0,8.0,3500.0,171.0,5.428204627
16.23,13.0,32.0,8.0,3500.0,171.0,5.378560054
15.34,13.0,24.0,6.0,4000.0,178.0,5.058853866
15.34,13.0,16.0,4.0,4000.0,178.0,5.043683148
16.74,13.0,16.0,4.0,4000.0,196.8,4.607467545
10.16,5.0,2.0,4.0,1700.0,136.1,3.579343567
17.78,3.15,0.3,1.0,4100.0,350.0,3.982295058
12.7,5.0,0.3,0.5,3000.0,147.6,3.495598057
25.43,8.0,5.0,3.0,7000.0,520.0,4.726768158
25.43,8.0,5.0,4.0,7000.0,580.0,5.214881408
15.47,8.0,5.0,2.0,4000.0,172.0,3.940610462
20.32,13.0,5.0,2.0,5100.0,305.0,4.779375562
20.32,5.0,2.0,2.0,5000.0,305.0,4.463721822
17.78,2.0,2.0,1.0,3590.0,236.0,3.896096855
16.23,8.0,16.0,6.0,4000.0,159.0,4.423648309
16.23,8.0,32.0,6.0,4000.0,185.0,5.342812606
15.32,8.0,16.0,4.0,4050.0,164.0,4.676839473
25.43,8.0,8.0,2.0,8400.0,655.0,5.056182109
16.59,5.0,16.0,4.0,4000.0,196.5,4.879082894
15.44,5.0,13.0,3.0,4000.0,219.0,4.350148896
5.28,2.0,13.0,1.0,1470.0,127.0,3.875566468
15.44,5.0,10.0,8.0,5000.0,218.0,4.734442522
15.44,5.0,10.0,8.0,5000.0,213.0,5.476463552
15.37,5.0,13.0,3.0,4000.0,196.5,4.636959508
14.5,8.0,8.0,3.0,3450.0,170.0,4.230767603
25.43,8.0,5.0,4.0,8200.0,498.0,4.709620287
15.34,8.0,32.0,8.0,4000.0,192.0,5.467680322
15.34,8.0,16.0,4.0,4000.0,198.0,4.696928611
13.84,8.0,5.0,2.0,3000.0,148.0,4.255328982
13.84,8.0,5.0,1.0,3000.0,152.0,4.08933202
15.27,8.0,13.0,2.0,3500.0,186.0,4.64352514
15.37,8.0,13.0,3.0,4000.0,194.0,4.550608398
15.8,8.0,16.0,4.0,4050.0,172.0,4.461877016
15.9,8.0,16.0,3.0,4000.0,175.0,4.582310892
15.72,8.0,8.0,3.0,4000.0,164.0,4.373994463
15.29,13.0,5.0,3.0,3500.0,179.0,4.517649588
15.29,16.0,5.0,4.0,3300.0,172.0,4.887940214
12.83,13.0,5.0,2.0,4500.0,171.0,4.358630057
7.62,2.0,1.3,0.5,1540.0,140.45,3.027715319
10.16,2.0,0.3,0.25,1500.0,146.5,3.043569603
7.75,0.3,0.3,0.25,1500.0,89.0,2.386926241
10.03,2.0,0.3,0.25,2000.0,85.0,2.856470206
10.16,2.0,0.3,4.0,2000.0,89.0,3.108614431
7.75,0.3,0.3,4.0,2000.0,89.0,2.989714201
16.56,0.3,8.0,3.0,4000.0,200.0,4.186011751
13.84,0.3,5.0,2.0,3000.0,180.0,3.616308761
13.84,0.3,5.0,2.0,3000.0,180.0,4.055430469
5.18,0.3,0.0,0.03,1020.0,90.5,2.910174385
17.3,0.3,24.0,6.0,4500.0,220.0,5.314043067
5.18,0.3,0.0,0.02,1200.0,88.2,3.370738174
5.18,0.3,0.0,0.02,1200.0,86.5,2.721295428
15.34,8.0,32.0,8.0,4025.0,181.0,4.868380247
15.37,8.0,8.0,4.0,4230.0,180.0,4.57037168
15.34,8.0,25.0,6.0,3600.0,169.5,4.936199063
15.34,8.0,32.0,4.0,4035.0,186.0,4.94178527
16.59,8.0,16.0,6.0,4020.0,190.0,4.656718448
15.39,8.0,16.0,8.0,4065.0,215.0,5.295613715
15.27,8.0,5.0,2.0,4000.0,170.0,4.322011202
15.29,13.0,8.0,3.0,4230.0,168.0,4.457713717
10.29,8.0,5.0,1.0,2000.0,135.0,4.02463715
16.43,8.0,20.0,6.0,4000.0,171.0,5.570212986
20.32,5.0,2.0,1.5,4200.0,313.0,4.32611744
15.34,2.0,8.0,8.0,3130.0,141.0,4.915665057
12.93,8.0,8.0,4.0,3090.0,173.0,4.180522258
16.59,2.0,16.0,6.0,4500.0,210.0,5.020849617
16.59,8.0,24.0,6.0,3820.0,192.0,5.036303041
17.78,2.0,16.0,4.0,6000.0,220.0,4.378896742
15.39,2.0,8.0,2.0,5000.0,206.5,4.084294226
15.39,2.0,16.0,6.0,4000.0,203.0,4.919469846
12.83,2.0,5.0,2.0,2700.0,153.0,3.629394807
12.7,2.0,5.0,4.0,4000.0,234.0,3.974809994
12.7,13.0,5.0,2.0,4000.0,234.0,4.29374172
15.42,12.0,16.0,8.0,5000.0,159.0,5.175471537
16.36,13.0,32.0,8.0,4350.0,196.5,5.288014474
16.21,13.0,16.0,8.0,4500.0,198.5,4.770599875
16.59,13.0,16.0,8.0,5000.0,193.0,5.064302435
16.21,13.0,32.0,8.0,4500.0,186.7,5.104732617
16.13,13.0,8.0,3.0,5000.0,191.5,4.417755682
16.21,13.0,16.0,6.0,4500.0,198.5,4.601664047
16.13,13.0,8.0,4.0,5000.0,190.0,4.59360355
16.13,13.0,16.0,4.0,5000.0,190.5,4.907346705
17.5,13.0,16.0,8.0,4500.0,218.5,4.94071342
17.5,13.0,16.0,8.0,4500.0,217.3,5.278471738
16.28,13.0,12.0,8.0,4500.0,217.0,4.911109575
16.28,13.0,12.0,8.0,4500.0,215.0,5.144350003
15.8,8.0,5.0,2.0,4030.0,163.5,3.966132331
16.21,13.0,32.0,6.0,4500.0,179.0,5.206859756
16.21,13.0,12.0,6.0,4500.0,198.5,4.735671994
16.59,13.0,16.0,4.0,5000.0,204.1,4.956108708
16.23,13.0,16.0,6.0,3700.0,185.0,4.755829062
15.9,13.0,16.0,4.0,3260.0,150.0,4.614625345
16.13,13.0,20.0,4.0,5000.0,190.5,4.761831996
16.59,13.0,16.0,6.0,3940.0,189.5,5.116315759
15.8,13.0,5.0,2.0,4030.0,163.5,4.382151627
10.29,5.0,2.0,0.5,1900.0,130.0,3.379292546
12.93,8.0,8.0,3.0,3400.0,145.0,4.421487704
14.4,13.0,8.0,2.0,2920.0,160.0,4.523526197
15.21,8.0,5.0,2.0,4000.0,185.0,4.131800899
15.32,8.0,16.0,6.0,4000.0,184.0,4.857950206
15.9,8.0,8.0,3.0,4000.0,178.0,4.33781348
20.12,12.0,20.0,12.0,4050.0,241.0,6.619433002
16.23,12.0,20.0,8.0,4000.0,196.0,5.360587692
16.23,12.0,16.0,8.0,4000.0,191.0,5.192289962
15.27,12.0,32.0,4.0,4030.0,173.8,4.792396362
16.23,12.0,32.0,6.0,4030.0,179.0,4.886280713
15.32,12.0,13.0,3.0,4000.0,186.0,4.687395126
15.24,14.5,8.0,3.0,4000.0,160.0,4.272211769
15.47,16.0,5.0,3.0,3200.0,165.0,4.408059812
15.32,14.5,16.0,3.0,3200.0,165.0,4.498697941
16.48,14.5,8.0,4.0,5000.0,190.0,4.57316339
16.89,48.0,16.0,8.0,5000.0,215.0,5.668051665
16.31,14.5,8.0,6.0,4000.0,186.0,5.243913978
13.84,13.0,8.0,2.0,2600.0,157.0,4.297421451
12.7,8.0,5.0,1.0,2000.0,144.0,3.803992261
12.7,8.0,5.0,1.0,2000.0,144.0,3.931433399
16.89,48.0,16.0,6.0,5000.0,215.0,5.263725922
16.43,14.5,20.0,6.0,4000.0,175.0,5.029718709
13.84,13.0,8.0,2.0,3200.0,135.0,4.450152464
15.27,16.0,5.0,2.0,3200.0,146.0,4.339249605
14.5,13.0,5.0,3.0,3020.0,146.0,4.466367783
17.3,13.0,16.0,8.0,4300.0,213.0,5.051905188
16.69,13.0,8.0,8.0,4200.0,213.0,5.018008048
25.5,13.0,8.0,6.0,7250.0,480.0,4.903346996
15.32,13.0,8.0,3.0,5000.0,185.0,4.477791257
16.23,13.0,8.0,4.0,4000.0,176.0,4.466597536
13.84,8.0,5.0,2.0,3020.0,144.0,3.961574784
15.77,13.0,8.0,4.0,3400.0,164.0,4.776093698
15.32,13.0,16.0,6.0,4000.0,165.0,4.803775113
16.23,13.0,8.0,6.0,4000.0,176.0,4.831747834
15.47,13.0,8.0,3.0,3020.0,150.0,4.476199805
15.32,13.0,8.0,4.0,5000.0,185.0,4.609859175
16.69,13.0,16.0,8.0,4100.0,206.0,5.17252736
15.32,13.0,16.0,4.0,4000.0,171.5,4.797194518
14.5,13.0,5.0,2.0,3020.0,146.0,4.220095768
16.23,13.0,8.0,4.0,4000.0,176.0,4.415944853
15.9,13.0,32.0,6.0,3750.0,172.0,5.180209278
16.74,13.0,16.0,4.0,4000.0,206.0,4.679349584
14.5,13.0,5.0,2.0,3020.0,146.0,4.055776969
25.43,5.0,2.0,3.0,5100.0,173.0,4.53999146
20.32,8.0,8.0,3.0,5100.0,173.0,4.294560609
20.32,8.0,0.3,1.0,5680.0,453.6,4.899852698
15.29,13.0,16.0,3.0,3850.0,170.0,4.829033478
12.88,13.0,13.0,4.0,3075.0,150.0,4.860277413
15.29,13.0,8.0,3.0,3300.0,160.0,4.388008706
15.24,13.0,14.5,6.0,3930.0,180.0,4.633951987
15.29,13.0,16.0,4.0,3850.0,170.0,5.041552397
15.37,10.5,16.0,6.0,4000.0,192.0,4.865455368
15.37,10.5,16.0,6.0,4000.0,182.0,4.971686544
15.32,10.5,16.0,4.0,4000.0,163.0,5.058980915
15.32,10.5,16.0,4.0,4000.0,163.0,4.980931815
20.32,5.0,2.0,2.0,5100.0,310.0,4.218183299
15.37,10.5,16.0,8.0,4000.0,189.0,4.916690848
25.5,8.0,8.0,4.0,7250.0,450.0,5.097485547
16.71,10.5,16.0,8.0,4200.0,226.0,5.49380191
16.23,10.5,8.0,4.0,4000.0,176.0,4.365643155
25.6,13.0,8.0,6.0,7250.0,460.0,5.359976747
16.23,10.5,8.0,4.0,4000.0,176.0,4.651003602
16.74,13.0,16.0,6.0,4000.0,206.0,5.071354029
15.34,13.0,16.0,8.0,4200.0,183.0,4.99531859
25.6,13.0,8.0,6.0,7250.0,460.0,4.978869391
15.9,13.0,32.0,6.0,4000.0,178.0,5.037147389
15.32,13.0,16.0,6.0,4000.0,163.0,4.949043538
16.23,13.0,8.0,4.0,4000.0,176.0,4.403054002
16.59,13.0,16.0,12.0,4500.0,198.0,5.995954452
16.81,13.0,16.0,6.0,4200.0,196.0,5.530103463
16.81,13.0,16.0,6.0,4200.0,196.0,5.345344072
15.9,13.0,32.0,6.0,4000.0,178.0,5.214772701
16.74,13.0,16.0,4.0,4000.0,163.5,4.894401058
25.6,13.0,8.0,4.0,7500.0,498.0,5.025589586
20.42,13.0,8.0,6.0,6100.0,340.0,4.943212618
20.42,13.0,8.0,4.0,6100.0,320.0,5.017147378
16.23,13.0,32.0,8.0,3500.0,171.0,5.372914505
16.23,13.0,32.0,8.0,3500.0,171.0,5.366396487
15.34,13.0,24.0,6.0,4000.0,178.0,5.180209278
15.34,13.0,16.0,4.0,4000.0,178.0,4.837313121
16.74,13.0,16.0,4.0,4000.0,196.8,4.861671141
10.16,5.0,2.0,4.0,1700.0,136.1,3.959097413
17.78,3.15,0.3,1.0,4100.0,350.0,4.335197047
12.7,5.0,0.3,0.5,3000.0,147.6,3.509154523
25.43,8.0,5.0,3.0,7000.0,520.0,4.683426684
25.43,8.0,5.0,4.0,7000.0,580.0,5.053758638
15.47,8.0,5.0,2.0,4000.0,172.0,4.145196092
20.32,13.0,5.0,2.0,5100.0,305.0,4.515245478
20.32,5.0,2.0,2.0,5000.0,305.0,4.390366759
17.78,2.0,2.0,1.0,3590.0,236.0,3.806440243
16.23,8.0,16.0,6.0,4000.0,159.0,4.447228998
16.23,8.0,32.0,6.0,4000.0,185.0,5.347964306
15.32,8.0,16.0,4.0,4050.0,164.0,4.541058241
25.43,8.0,8.0,2.0,8400.0,655.0,4.866995844
16.59,5.0,16.0,4.0,4000.0,196.5,4.739963282
15.44,5.0,13.0,3.0,4000.0,219.0,4.720550337
5.28,2.0,13.0,1.0,1470.0,127.0,3.758405517
15.44,5.0,10.0,8.0,5000.0,218.0,5.412047757
15.44,5.0,10.0,8.0,5000.0,213.0,4.633951987
15.37,5.0,13.0,3.0,4000.0,196.5,4.232801305
14.5,8.0,8.0,3.0,3450.0,170.0,4.319752215
25.43,8.0,5.0,4.0,8200.0,498.0,5.021970804
15.34,8.0,32.0,8.0,4000.0,192.0,5.789103535
15.34,8.0,16.0,4.0,4000.0,198.0,4.955756633
13.84,8.0,5.0,2.0,3000.0,148.0,4.367800927
13.84,8.0,5.0,1.0,3000.0,152.0,4.043752776
15.27,8.0,13.0,2.0,3500.0,186.0,4.396299294
15.37,8.0,13.0,3.0,4000.0,194.0,4.707997496
15.8,8.0,16.0,4.0,4050.0,172.0,4.541484634
15.9,8.0,16.0,3.0,4000.0,175.0,4.48661185
15.72,8.0,8.0,3.0,4000.0,164.0,4.105943698
15.29,13.0,5.0,3.0,3500.0,179.0,4.170688129
15.29,16.0,5.0,4.0,3300.0,172.0,4.989411658
12.83,13.0,5.0,2.0,4500.0,171.0,4.539564429
7.62,2.0,1.3,0.5,1540.0,140.45,3.131136911
10.16,2.0,0.3,0.25,1500.0,146.5,3.118834471
7.75,0.3,0.3,0.25,1500.0,89.0,1.572773928
10.03,2.0,0.3,0.25,2000.0,85.0,3.404857342
10.16,2.0,0.3,4.0,2000.0,89.0,3.302481409
7.75,0.3,0.3,4.0,2000.0,89.0,2.853015971
16.56,0.3,8.0,3.0,4000.0,200.0,4.160756328
13.84,0.3,5.0,2.0,3000.0,180.0,3.690627925
13.84,0.3,5.0,2.0,3000.0,180.0,3.988243031
5.18,0.3,0.0,0.03,1020.0,90.5,2.519308077
5.18,0.3,0.0,0.03,1020.0,91.3,2.564949357
17.3,0.3,24.0,6.0,4500.0,220.0,4.602667056
5.18,0.3,0.0,0.03,1200.0,86.5,2.789322921
15.34,8.0,32.0,8.0,4025.0,181.0,4.900225013
15.37,8.0,8.0,4.0,4230.0,180.0,4.514369822
15.34,8.0,25.0,6.0,3600.0,169.5,5.037212309
15.34,8.0,32.0,4.0,4035.0,186.0,5.093320661
16.59,8.0,16.0,6.0,4020.0,190.0,5.032266314
15.39,8.0,16.0,8.0,4065.0,215.0,5.598384921
15.27,8.0,5.0,2.0,4000.0,170.0,4.022848561
15.29,13.0,8.0,3.0,4230.0,168.0,4.273745191
10.29,8.0,5.0,1.0,2000.0,135.0,4.09700768
16.43,8.0,20.0,6.0,4000.0,171.0,4.701661486
12.88,8.0,5.0,3.0,4000.0,168.0,4.151669629
12.7,8.0,5.0,1.0,2600.0,154.0,4.08142817
15.42,8.0,32.0,8.0,4500.0,185.0,5.514194582
15.37,8.0,32.0,6.0,4500.0,187.0,5.126282718
25.5,8.0,5.0,4.0,7040.0,467.0,5.28755971
15.29,8.0,13.0,8.0,4000.0,168.1,5.678498854
25.53,8.0,8.0,6.0,7040.0,420.0,5.083699865
12.73,12.0,8.0,4.0,4500.0,256.0,4.59036107
15.42,12.0,32.0,6.0,4500.0,187.0,4.955756633
25.43,13.0,8.0,4.0,7600.0,653.0,4.989071116
15.32,12.0,10.0,12.0,3500.0,168.0,4.997685135
25.53,12.0,8.0,6.0,7040.0,420.0,5.438209735
20.32,8.0,2.0,2.0,5100.0,169.0,3.984343667
12.7,16.0,5.0,3.0,2800.0,172.0,4.454579827
20.32,5.0,2.0,2.0,4200.0,338.0,4.7051965
16.59,2.0,16.0,4.0,4000.0,193.0,4.314015424
15.77,2.0,5.0,4.0,4000.0,184.7,4.358246106
20.32,0.3,2.0,1.0,3600.0,330.0,4.053522568
15.44,2.0,8.0,2.0,3500.0,191.6,3.990279503
17.78,8.0,0.3,1.0,2000.0,242.0,2.822568655
25.43,0.3,2.0,1.0,4000.0,505.2,4.538068382
12.88,8.0,5.0,2.0,2700.0,138.0,4.175002465
16.23,8.0,16.0,4.0,3450.0,176.6,4.995657011
20.32,2.0,2.0,3.0,4000.0,355.0,4.42424765
20.32,2.0,2.0,2.0,4000.0,355.0,4.210645018
20.55,8.0,0.3,2.0,2000.0,374.0,4.414977735
30.71,12.0,7.0,6.0,9720.0,641.0,5.847392078
27.94,12.0,7.0,6.0,5770.5,471.0,5.691237447
25.45,8.0,1.2,3.0,8827.0,483.0,5.204446151
27.94,12.0,7.0,4.0,7812.0,468.0,5.359835707
18.01,8.0,1.2,2.0,5124.0,299.0,4.562680134
15.24,13.0,2.0,2.0,3230.0,196.0,4.539564429
15.24,13.0,2.0,2.0,3300.0,196.0,4.327966358
15.24,8.0,8.0,1.0,2800.0,185.0,4.304335327
12.83,8.0,8.0,1.0,2200.0,158.0,4.170842533
12.7,5.0,5.0,1.0,3400.0,146.0,3.764218811
10.29,5.0,0.3,0.5,1760.0,136.0,4.05386973
12.83,13.0,5.0,3.0,4200.0,206.5,4.796864349
14.35,12.0,8.0,4.0,3100.0,210.0,4.476882166
25.43,5.0,2.0,1.0,2700.0,508.0,4.836599317
25.43,5.0,2.0,2.0,2700.0,508.0,4.691072615
5.18,2.0,5.0,0.5,3230.0,90.0,3.247268899
17.78,5.0,2.0,1.0,3240.0,295.1,4.182202803
20.32,0.3,0.3,0.5,3240.0,325.0,3.848230872
17.78,3.0,0.3,1.0,3240.0,279.0,4.46326094
17.78,0.3,0.3,0.5,2840.0,285.0,3.713572067
17.78,2.0,0.3,1.0,3240.0,285.0,3.989354348
17.78,0.3,0.3,1.0,1800.0,390.0,4.307303088
17.78,3.0,0.3,1.0,1800.0,350.0,4.432244351
20.32,2.0,0.3,1.0,1800.0,400.0,4.357990057
17.78,0.3,0.3,1.0,3240.0,350.0,4.124226937
17.78,2.0,0.3,1.0,3300.0,350.0,4.129550818
16.56,5.0,8.0,4.0,4000.0,178.0,4.297149343
12.83,5.0,5.0,1.0,2460.0,153.2,3.78487122
20.32,5.0,2.0,1.0,4080.0,279.0,4.363862664
23.04,5.0,2.0,4.0,4500.0,544.3,5.066006927
17.78,13.0,2.0,4.0,3400.0,260.0,4.632298853
12.83,13.0,5.0,4.0,4080.0,169.0,4.710160633
12.7,8.0,2.0,4.0,2000.0,126.0,3.781686504
25.43,5.0,2.0,4.0,6100.0,147.5,4.337682821
12.83,13.0,13.0,4.0,4020.0,166.0,4.368307963
12.83,13.0,5.0,4.0,5000.0,147.5,4.430935839
12.7,8.0,5.0,4.0,2000.0,125.0,4.070564034
20.32,5.0,2.0,4.0,4420.0,353.8,4.998832582
12.83,21.0,8.0,4.0,2870.0,150.0,4.590969837
10.29,5.0,5.0,4.0,2000.0,142.0,3.781686504
10.29,5.0,2.0,4.0,2000.0,142.0,3.616577542
12.83,8.0,8.0,4.0,4000.0,165.0,4.556295018
12.7,8.0,8.0,4.0,2420.0,145.0,4.354141431
25.43,5.0,2.0,4.0,5910.0,540.0,4.624188192
20.32,5.0,0.3,4.0,4550.0,355.0,4.226687749
12.7,13.0,5.0,4.0,2300.0,110.0,4.488524004
12.7,8.0,2.0,4.0,2000.0,118.0,3.721104601
10.16,5.0,2.0,4.0,1300.0,120.0,3.89914038
10.16,5.0,2.0,4.0,1300.0,119.0,3.755369195
10.29,5.0,2.0,4.0,2000.0,145.0,3.642049867
12.7,13.0,5.0,4.0,2300.0,116.0,4.028916757
12.7,8.0,2.0,4.0,2000.0,150.0,4.348728349
12.88,13.0,2.0,4.0,2700.0,164.0,4.342375829
12.7,13.0,2.0,4.0,2100.0,110.0,4.154969184
12.7,8.0,2.0,4.0,3500.0,155.0,4.405010471
12.7,8.0,2.0,4.0,2500.0,155.0,4.49903159
10.16,2.0,2.0,4.0,1300.0,130.0,3.840312158
20.32,5.0,2.0,4.0,4600.0,360.0,4.66334475
17.78,2.0,0.3,4.0,3400.0,298.0,4.094344562
17.78,5.0,0.3,4.0,3400.0,298.0,4.063369758
17.78,5.0,0.3,4.0,3700.0,159.5,4.065945088
10.34,13.0,2.0,4.0,2500.0,134.0,4.294424174
10.16,5.0,1.3,4.0,1630.0,122.0,3.63758616
17.78,0.3,2.0,4.0,2955.0,323.0,4.405254761
17.78,0.3,2.0,4.0,2955.0,315.0,4.040943785
18.01,5.0,2.0,4.0,4000.0,380.0,4.433788569
12.7,5.0,0.3,4.0,2000.0,150.0,3.470723444
15.24,13.0,2.0,4.0,3300.0,229.0,4.631617356
7.75,3.15,0.3,4.0,1500.0,120.0,3.041661205
12.88,8.0,2.0,4.0,2400.0,195.0,4.060270582
25.43,5.0,0.3,4.0,7300.0,560.0,4.611549793
18.01,5.0,0.3,4.0,4960.0,410.0,4.513712575
10.29,8.0,2.0,4.0,2000.0,140.0,4.254193263
7.75,3.0,0.3,4.0,1300.0,110.0,3.485844856
10.24,8.0,0.3,4.0,2000.0,140.0,4.343805422
10.29,5.0,0.3,4.0,1760.0,130.0,3.757238792
17.78,0.3,0.3,4.0,2640.0,339.9,4.126004715
17.78,0.3,0.3,4.0,2710.0,320.0,4.291965156
12.83,5.0,5.0,4.0,3230.0,130.0,3.832763324
12.7,5.0,2.0,4.0,3230.0,148.0,3.997650091
15.29,8.0,8.0,4.0,4000.0,158.0,4.065945088
12.88,12.0,5.0,4.0,3000.0,144.0,4.721885986
15.24,8.0,5.0,4.0,3000.0,155.0,3.952588967
12.83,13.0,5.0,4.0,3000.0,145.0,4.537961436
12.78,8.0,5.0,4.0,3000.0,151.0,4.105119635
15.24,8.0,5.0,4.0,3000.0,169.0,4.428074948
25.43,2.0,2.0,4.0,4000.0,415.0,4.338727617
17.78,2.0,0.3,4.0,2580.0,245.0,4.013857311
12.75,12.0,8.0,4.0,2850.0,147.0,4.560800238
12.75,13.0,5.0,4.0,2800.0,155.0,4.284689402
15.24,12.0,5.0,4.0,4000.0,175.0,4.6404408
12.83,16.0,8.0,4.0,4000.0,164.0,4.651767471
12.7,5.0,2.0,4.0,2050.0,159.5,3.934371409
12.75,8.0,5.0,4.0,2800.0,159.5,4.410614092
12.7,13.0,5.0,4.0,2460.0,159.5,4.371218436
15.24,8.0,5.0,4.0,3000.0,159.5,4.543720224
12.7,13.0,5.0,4.0,2460.0,156.0,4.07973841
12.83,8.0,5.0,4.0,2500.0,163.9,3.998567607
12.7,13.0,5.0,4.0,2150.0,140.0,4.632396172
12.7,8.0,5.0,4.0,2000.0,148.0,3.013572192
12.83,13.0,5.0,4.0,3000.0,159.95,4.332442405
12.83,13.0,5.0,4.0,2960.0,159.95,4.390118805
12.83,8.0,5.0,4.0,2500.0,159.95,4.026422546
12.7,8.0,5.0,4.0,2500.0,159.95,3.999484281
12.83,16.0,8.0,4.0,3000.0,149.0,4.555664766
12.75,13.0,8.0,4.0,2610.0,135.0,4.351180755
17.78,2.0,0.3,4.0,2580.0,159.95,3.850360345
15.24,13.0,8.0,4.0,2580.0,179.0,4.268717949
15.24,8.0,5.0,4.0,2580.0,159.95,4.35850209
10.16,2.0,0.3,4.0,1500.0,159.95,3.674526948
12.83,5.0,2.0,4.0,2580.0,174.0,4.138999203
12.83,8.0,2.0,4.0,2500.0,173.0,4.129550818
12.7,13.0,5.0,4.0,3000.0,140.0,4.288539792
12.83,13.0,8.0,4.0,3500.0,147.0,4.475744639
10.29,5.0,0.3,4.0,2000.0,144.9,3.955465563
12.83,13.0,8.0,4.0,2910.0,141.0,4.261552481
10.34,13.0,5.0,4.0,2000.0,110.0,4.577593418
12.83,5.0,2.0,4.0,2800.0,142.95,4.135806352
20.32,2.0,0.3,4.0,3240.0,335.0,4.385894146
17.78,2.0,0.3,4.0,2820.0,260.0,4.244917421
17.78,2.0,0.3,4.0,2820.0,260.0,4.097340071
17.78,2.0,0.3,4.0,2820.0,260.0,3.974246349
23.01,5.0,2.0,4.0,4600.0,380.0,4.911404104
12.7,5.0,2.0,4.0,2820.0,142.95,3.961955374
10.29,5.0,0.3,4.0,2820.0,125.0,3.341801172
10.16,2.0,0.3,4.0,2820.0,110.0,3.021887231
7.75,2.0,0.3,0.25,2820.0,98.0,2.863343086
10.16,5.0,0.3,4.0,1400.0,114.0,3.927699485
7.75,2.0,0.3,4.0,1300.0,101.0,3.539508997
12.7,5.0,0.3,4.0,2000.0,149.0,3.586292865
7.75,1.3,0.3,0.25,1000.0,93.0,2.506341931
10.29,5.0,0.3,4.0,2000.0,147.0,3.90499839
10.29,5.0,0.3,4.0,2000.0,147.0,4.160912273
12.7,5.0,0.3,4.0,2000.0,149.1,3.927305629
10.16,5.0,0.3,4.0,1400.0,121.1,3.645449896
20.32,5.0,3.0,4.0,4100.0,327.0,4.596230344
20.32,5.0,2.0,4.0,4060.0,310.0,4.554718642
15.24,13.1,5.0,4.0,3100.0,175.0,4.536248741
7.75,2.0,0.3,4.0,1300.0,100.0,2.779440197
