amount,grade,years,ownership,income,age
12875,B,3,RENT,37760,22
20000,D,12,MORTGAGE,260000,37
5000,D,0,RENT,65000,25
17000,A,1,MORTGAGE,58000,52
6000,B,1,RENT,75000,23
7000,E,6,MORTGAGE,80000,28
1050,A,6,MORTGAGE,61000,27
13750,E,23,MORTGAGE,38644,22
10000,A,4,MORTGAGE,57664,23
2000,C,0,RENT,33000,21
2500,B,1,OWN,18000,21
2000,D,4,RENT,39000,27
24000,A,4,RENT,48000,26
25000,C,5,MORTGAGE,73476,23
10000,A,6,MORTGAGE,40000,24
1500,C,0,RENT,42000,22
11500,B,0,MORTGAGE,28800,22
1500,B,7,RENT,45000,39
7500,B,9,MORTGAGE,78955,22
4800,B,26,RENT,69000,29
8000,A,1,OWN,68000,31
10000,A,3,MORTGAGE,125000,25
7000,B,1,MORTGAGE,93000,46
32000,A,2,RENT,120000,25
2500,C,0,RENT,20640,22
6000,B,5,MORTGAGE,126000,45
5000,B,22,RENT,57000,26
2000,C,11,RENT,26500,37
10000,A,7,MORTGAGE,75000,26
4000,C,3,MORTGAGE,115000,29
10000,D,6,MORTGAGE,160000,36
8000,B,0,RENT,26000,22
8400,C,4,MORTGAGE,100000,23
10000,E,5,MORTGAGE,60000,23
22750,A,0,RENT,49404,35
4000,C,7,MORTGAGE,80000,23
4200,C,18,RENT,61512,27
12000,C,18,RENT,32000,24
33000,B,0,MORTGAGE,70000,27
2500,D,0,OWN,36000,28
11500,A,6,MORTGAGE,55000,26
5000,C,3,RENT,65000,23
4000,A,12,RENT,50582,22
3500,A,2,RENT,30720,29
15000,A,1,RENT,147000,34
14100,C,7,RENT,52000,22
20000,C,9,MORTGAGE,85000,23
3200,A,1,MORTGAGE,57000,22
900,C,3,RENT,12000,32
3000,A,2,RENT,38748,25
4800,E,3,RENT,15000,24
18000,C,4,RENT,132725.38,27
12000,B,5,MORTGAGE,112000,23
7200,B,4,RENT,45000,27
6000,E,2,RENT,36000,33
5000,B,8,RENT,74500,26
8000,B,3,RENT,36000,30
7000,C,5,MORTGAGE,74400,36
5500,C,1,MORTGAGE,24900,22
14000,B,0,RENT,42000,27
15600,D,21,MORTGAGE,87000,49
1925,B,0,RENT,30000,23
18000,B,5,RENT,84000,25
10000,A,4,MORTGAGE,61000,26
7500,C,1,RENT,40000,30
2000,A,0,MORTGAGE,67992,29
19550,D,0,RENT,130000,22
2500,A,3,OWN,26000,28
5000,A,1,MORTGAGE,100000,24
6000,B,2,MORTGAGE,44300,27
6500,B,6,RENT,21000,21
4000,A,,OWN,33600,23
8000,A,6,MORTGAGE,125000,25
15450,C,7,RENT,120000,26
6000,D,2,MORTGAGE,56160,24
10000,B,12,MORTGAGE,36252,25
4800,A,1,RENT,27000,21
10000,C,13,MORTGAGE,75689,30
5000,A,2,MORTGAGE,80000,25
5000,B,24,MORTGAGE,93600,22
8000,A,18,MORTGAGE,65000,26
16000,B,14,MORTGAGE,61000,32
6000,D,0,RENT,71074,23
5000,A,6,RENT,60000,23
9000,D,3,RENT,70000,29
23000,C,0,MORTGAGE,120000,23
14000,C,31,RENT,78700,22
5000,A,4,OWN,18000,27
5500,C,1,MORTGAGE,9600,25
7000,C,3,RENT,36500,27
12000,A,2,RENT,64575,24
15000,B,4,MORTGAGE,67000,39
2800,B,7,RENT,24000,32
10800,C,2,RENT,55000,25
4800,C,5,RENT,39996,26
14500,A,11,MORTGAGE,64000,35
9600,B,2,MORTGAGE,55000,27
25000,C,11,MORTGAGE,73000,25
10000,B,1,OWN,55000,22
18000,A,1,MORTGAGE,48000,38
3000,D,5,RENT,60000,40
8400,B,7,MORTGAGE,28800,23
4000,B,2,RENT,39000,36
8000,B,3,MORTGAGE,54000,24
8000,B,25,MORTGAGE,109200,28
21000,B,17,RENT,110000,39
5000,B,,RENT,38000,23
8000,C,5,RENT,55000,31
3600,B,0,RENT,110000,30
12000,E,3,RENT,50000,24
6000,C,0,RENT,33280,21
2300,C,4,RENT,68000,29
4075,A,0,RENT,19200,31
12375,B,2,MORTGAGE,39552,30
6350,A,0,MORTGAGE,36000,26
14500,A,11,RENT,100000,26
4200,C,6,OWN,48000,35
20000,D,27,MORTGAGE,121178,28
6925,B,6,RENT,25000,21
1000,D,0,OWN,17280,38
2000,B,4,MORTGAGE,55000,21
10000,B,16,MORTGAGE,32000,23
12000,A,4,MORTGAGE,70000,31
16750,B,4,RENT,33000,33
4000,C,4,OWN,15000,23
1050,A,6,MORTGAGE,61000,27
4000,A,17,OWN,25200,32
2500,B,2,OWN,20004,21
14000,D,4,RENT,46800,39
10000,C,0,RENT,44469,35
6000,B,2,RENT,46680,22
1000,D,20,RENT,48000,21
8000,D,3,RENT,60000,24
13000,A,0,RENT,90000,24
20000,C,3,MORTGAGE,160000,25
16000,B,13,RENT,90000,27
3000,B,0,RENT,13200,28
7125,A,1,MORTGAGE,36000,39
2500,B,7,OWN,15360,22
2050,A,16,OWN,50000,23
7600,A,13,MORTGAGE,100000,27
4800,A,6,MORTGAGE,35000,38
1600,C,3,MORTGAGE,28500,27
4800,D,4,RENT,63996,31
7475,A,3,OWN,53000,28
11000,B,8,RENT,45000,22
12000,B,1,RENT,60000,24
15600,B,0,RENT,69000,36
6000,C,0,RENT,35000,25
10000,B,2,RENT,165000,24
4500,A,0,RENT,36000,21
5000,C,2,OWN,32500,23
7200,B,2,MORTGAGE,105000,26
10000,C,5,MORTGAGE,39216,23
6000,B,7,MORTGAGE,39996,22
15000,C,31,RENT,75000,23
8000,B,4,MORTGAGE,62000,29
2500,B,4,RENT,70000,24
1500,C,3,RENT,40980,22
24000,D,5,MORTGAGE,135000,26
4500,B,21,RENT,62000,23
24175,B,9,MORTGAGE,95000,23
35000,C,16,RENT,70000,24
8000,B,14,MORTGAGE,42000,23
10000,B,4,RENT,36000,27
4200,A,5,RENT,30000,34
11200,D,5,RENT,42000,21
5000,B,3,MORTGAGE,54996,22
7300,A,5,RENT,50000,27
10000,B,7,OWN,60000,24
7000,C,2,RENT,14400,29
12000,A,3,MORTGAGE,72984,24
8000,C,16,MORTGAGE,60000,21
10000,C,0,RENT,60000,25
10000,E,1,MORTGAGE,60000,36
10000,A,8,MORTGAGE,96000,28
3200,D,3,RENT,18996,22
5000,D,4,OWN,33000,21
6000,C,2,RENT,48000,23
3600,A,9,RENT,32000,24
9700,B,1,RENT,56400,27
2050,C,23,MORTGAGE,33000,24
5000,C,0,RENT,48504,29
7500,A,5,RENT,38000,22
15000,C,8,RENT,31680,21
8000,B,0,RENT,27000,26
28000,D,8,OWN,140000,27
12000,A,2,RENT,30000,34
10000,A,23,RENT,70000,23
16525,C,9,RENT,70000,26
2400,C,4,RENT,67000,26
3000,B,10,RENT,58800,33
4000,A,4,MORTGAGE,115000,25
4500,A,8,MORTGAGE,28000,26
2000,B,1,RENT,80000,23
9000,B,3,RENT,74000,26
17000,B,11,RENT,96000,22
8000,D,4,RENT,62400,24
1400,A,,OWN,8628,23
2400,C,5,RENT,99999,25
12800,D,2,MORTGAGE,141996,27
3000,A,11,RENT,67000,32
10800,A,38,MORTGAGE,51000,33
3000,A,,MORTGAGE,16908,36
4000,B,1,RENT,78000,32
7400,D,2,MORTGAGE,71000,22
2200,B,8,RENT,70000,27
17000,C,5,RENT,37000,35
7000,B,7,RENT,44400,27
5000,A,1,RENT,52000,23
6000,B,3,RENT,39000,22
12000,D,16,MORTGAGE,62208,22
24000,E,0,RENT,53000,27
4800,B,19,MORTGAGE,108000,25
1600,C,2,OWN,57068,26
4200,B,2,RENT,31500,31
4000,C,0,RENT,48000,33
2400,C,2,RENT,30720,23
7500,D,15,MORTGAGE,105000,43
6000,B,0,RENT,90000,30
25000,D,1,MORTGAGE,101000,24
4800,C,0,RENT,65000,26
6400,D,5,RENT,75000,35
10000,D,6,MORTGAGE,75000,22
6000,B,1,RENT,48000,40
6500,C,1,RENT,40000,22
4500,C,2,RENT,39996,22
4800,A,,RENT,89000,26
15000,E,11,MORTGAGE,170000,33
7500,B,0,RENT,40000,32
22000,B,5,MORTGAGE,100800,30
12000,B,3,RENT,75000,27
18000,G,16,MORTGAGE,300000,28
4000,A,1,MORTGAGE,15456,31
22000,B,0,MORTGAGE,72500,23
4500,A,4,RENT,53000,40
25000,D,4,RENT,55000,23
5000,A,1,RENT,40000,45
5200,B,2,MORTGAGE,36000,24
9800,C,7,RENT,50000,23
25000,E,0,MORTGAGE,150000,28
8650,A,13,MORTGAGE,60000,28
1500,B,2,RENT,15600,21
6000,A,4,MORTGAGE,71000,25
10000,B,4,RENT,42000,22
13000,C,12,RENT,24000,21
2000,A,0,RENT,12000,23
11700,A,,MORTGAGE,77705.88,23
3000,A,0,RENT,28800,27
6400,D,19,MORTGAGE,50000,22
7000,C,0,RENT,50000,30
7000,A,1,MORTGAGE,65000,23
1925,B,7,OWN,69600,23
1500,A,2,RENT,24840,28
4500,A,2,RENT,44004,26
24250,D,0,RENT,120000,29
2350,A,7,RENT,40080,37
5325,B,,RENT,22000,21
30000,A,0,RENT,131000,21
6400,C,9,RENT,70775,28
7000,A,13,MORTGAGE,45000,22
18000,B,0,RENT,42480,43
8000,E,0,MORTGAGE,50000,25
7500,B,6,RENT,46800,26
6000,E,3,RENT,47500,23
4000,C,2,RENT,18000,24
2800,F,1,RENT,23000,22
21600,D,2,MORTGAGE,58600,27
9000,E,4,RENT,42000,35
8000,B,9,MORTGAGE,48000,26
9600,B,5,RENT,35000,25
18000,D,0,RENT,56000,52
11000,B,3,MORTGAGE,42000,26
2000,A,2,RENT,37000,24
8000,B,0,RENT,95000,25
12000,B,1,RENT,61000,27
9000,A,7,MORTGAGE,48800,24
11000,A,4,RENT,35000,29
2400,B,0,MORTGAGE,30000,21
12600,B,27,OWN,38000,30
9600,A,3,OWN,39000,27
18000,B,0,MORTGAGE,57408,30
10000,C,34,RENT,90000,31
14150,B,3,RENT,40000,29
12000,A,22,MORTGAGE,240000,29
1500,D,2,RENT,38004,41
15000,B,1,RENT,90000,26
12000,B,5,MORTGAGE,85248,25
10000,B,2,MORTGAGE,67145,22
15000,A,7,RENT,95600,23
6000,A,11,MORTGAGE,52000,28
7000,A,2,RENT,45000,22
14000,A,3,RENT,30000,34
9600,A,7,RENT,65450,24
3000,C,,RENT,36132,38
3800,C,0,RENT,19200,25
1000,A,4,MORTGAGE,30000,23
7500,D,2,RENT,91500,24
4500,B,0,RENT,45000,23
4000,C,20,OWN,36000,30
18000,A,6,RENT,80000,21
20000,B,6,RENT,60000,25
1600,D,13,RENT,39000,27
4075,A,0,RENT,19200,31
7500,D,7,MORTGAGE,56000,23
15000,B,19,RENT,42000,23
24000,D,7,MORTGAGE,98000,25
1950,B,,OWN,12000,47
10000,A,,MORTGAGE,61000,23
1000,B,3,OWN,16800,51
8400,C,6,MORTGAGE,152004,35
10000,A,0,MORTGAGE,135000,33
6600,A,0,OWN,32004,22
6000,A,5,RENT,35000,23
3000,A,2,RENT,40000,27
4800,B,6,RENT,44100,28
20000,A,5,MORTGAGE,189000,33
5500,B,20,RENT,57600,26
10000,A,5,MORTGAGE,108000,25
3000,A,9,RENT,84000,25
14500,A,14,OWN,44000,24
9600,C,7,RENT,37800,23
7150,D,17,RENT,64500,41
10000,A,1,MORTGAGE,57000,27
17000,D,3,RENT,92000,31
4500,A,1,MORTGAGE,57000,30
22350,E,1,OWN,135000,27
10000,B,7,RENT,30000,28
5000,B,9,MORTGAGE,65000,21
7200,D,2,RENT,85000,25
8000,B,5,RENT,50000,37
11400,E,4,MORTGAGE,55000,23
10000,A,1,RENT,25000,21
5050,C,5,MORTGAGE,62000,28
8800,A,3,RENT,60000,22
15000,C,0,MORTGAGE,73392,34
20000,B,9,MORTGAGE,85000,29
16000,C,2,RENT,45000,41
10000,G,2,MORTGAGE,108000,26
10000,C,7,OWN,30000,24
6000,D,0,RENT,26880,29
10000,B,0,MORTGAGE,18000,24
10000,A,0,RENT,70000,46
17000,D,0,RENT,90000,26
25000,D,2,RENT,50000,24
6000,B,,MORTGAGE,65000,26
8000,D,14,MORTGAGE,40000,38
7200,A,2,MORTGAGE,87000,27
8000,A,5,MORTGAGE,54000,24
2800,D,2,RENT,43200,25
3000,A,19,MORTGAGE,42000,22
8000,B,4,MORTGAGE,84996,30
20000,G,4,RENT,65000,29
4000,B,2,RENT,80000,25
12000,A,3,RENT,57000,24
25000,F,1,MORTGAGE,120000,24
16000,A,5,RENT,80000,27
8500,B,4,RENT,25000,25
15000,D,19,RENT,37000,22
5600,C,8,RENT,75797,31
8000,C,2,RENT,61700,26
27575,B,1,MORTGAGE,54000,27
12800,D,28,RENT,48200,22
8000,D,5,MORTGAGE,65000,29
1000,B,,RENT,10000,23
6400,C,2,RENT,35000,23
20000,E,6,MORTGAGE,145000,28
15000,C,0,RENT,81000,23
25000,D,2,RENT,52000,26
10875,C,9,RENT,41500,22
12000,A,4,RENT,75000,23
10000,B,14,OWN,78996,22
3000,B,8,RENT,32796,30
12000,D,4,MORTGAGE,60000,25
6000,A,,OWN,37404,27
5000,C,6,MORTGAGE,60000,41
10000,D,15,MORTGAGE,45000,29
20000,D,1,RENT,48000,22
6000,B,2,MORTGAGE,42000,26
2000,C,2,RENT,41000,27
4000,A,5,MORTGAGE,19200,26
10000,B,1,MORTGAGE,51000,32
18000,D,1,RENT,180000,30
8500,B,4,MORTGAGE,81400,22
9975,D,2,RENT,79000,40
2000,A,1,OWN,24000,32
12000,D,29,RENT,54000,29
7500,D,6,MORTGAGE,85000,34
5000,D,4,RENT,57996,24
15000,B,1,RENT,30000,31
1500,A,11,MORTGAGE,67386,28
14500,C,9,MORTGAGE,38000,34
18000,B,20,MORTGAGE,170000,29
7500,B,1,RENT,60000,22
10000,B,3,RENT,24000,24
8000,D,3,RENT,48000,23
12000,C,0,RENT,45000,29
7000,C,7,MORTGAGE,60000,22
8850,B,4,MORTGAGE,120000,35
25000,E,2,RENT,170000,40
20000,B,12,RENT,65000,39
20000,A,2,MORTGAGE,125000,33
15000,B,9,RENT,32000,22
4000,A,6,RENT,28000,25
11500,A,9,MORTGAGE,75000,24
4050,A,5,RENT,55000,34
12000,A,9,MORTGAGE,97000,28
8000,B,2,OWN,24996,29
5000,A,1,RENT,115000,24
14125,A,,OWN,30000,23
10000,D,2,RENT,30400,39
1000,B,23,MORTGAGE,87000,26
4500,B,8,RENT,38000,24
3500,B,,RENT,36000,23
4600,B,1,RENT,40000,23
10000,E,0,RENT,75000,24
8000,C,12,RENT,44000,26
7200,B,9,RENT,85000,32
4000,C,4,OWN,24000,27
26400,D,4,MORTGAGE,68000,21
7000,C,7,OWN,130000,29
12000,C,5,RENT,75000,23
1300,C,56,RENT,70000,24
17000,C,3,RENT,80000,28
5000,C,0,RENT,54860,23
4000,B,4,RENT,58800,26
12000,B,17,MORTGAGE,91234.2,22
25000,D,1,MORTGAGE,100000,21
10000,C,1,MORTGAGE,44000,25
6000,B,2,RENT,48000,25
10000,D,9,MORTGAGE,62920,22
5000,D,0,OWN,20800,24
25000,F,5,MORTGAGE,265000,25
12000,E,17,RENT,104000,25
12000,A,3,RENT,95000,24
12000,B,2,RENT,30000,44
5400,C,1,RENT,50725,34
20000,F,7,RENT,62000,28
2000,A,,OWN,16000,23
9000,B,0,RENT,52000,23
4750,E,0,MORTGAGE,31200,25
20000,C,12,MORTGAGE,140000,39
8500,A,3,MORTGAGE,78000,24
4000,D,5,MORTGAGE,25344,24
3000,C,0,RENT,36000,24
5000,B,4,RENT,36000,26
13250,B,4,RENT,35000,28
20000,B,9,RENT,52559,24
19600,D,13,MORTGAGE,67499,24
1000,B,6,RENT,28000,22
10000,B,1,RENT,50000,31
25000,B,28,RENT,55000,27
20000,A,4,RENT,66000,32
10000,A,14,RENT,28000,22
5000,D,9,RENT,21000,47
5000,B,0,RENT,38000,29
4200,B,,OWN,21600,26
12000,B,2,MORTGAGE,180000,26
7100,A,2,RENT,50400,23
10000,D,2,RENT,35400,31
12000,A,0,MORTGAGE,64000,24
1600,C,0,RENT,38400,24
3000,E,0,RENT,10800,36
7200,C,9,MORTGAGE,60000,26
20500,C,2,RENT,38400,31
8000,A,1,MORTGAGE,65004,28
32000,C,7,MORTGAGE,60000,33
5000,B,,MORTGAGE,284400,31
6500,B,0,RENT,30600,41
22000,C,5,MORTGAGE,60000,23
6000,A,11,RENT,41124,23
2000,C,1,MORTGAGE,79000,22
12500,B,4,MORTGAGE,125000,31
8400,A,1,MORTGAGE,62000,26
15000,C,18,RENT,60000,35
13750,C,0,MORTGAGE,160000,26
17200,D,6,RENT,90000,27
5000,B,1,RENT,40000,27
8500,D,3,OWN,50000,28
7500,D,2,RENT,28128,25
7500,A,47,MORTGAGE,83000,29
3000,A,4,RENT,49000,38
6200,G,1,RENT,19200,23
10000,B,4,MORTGAGE,29004,46
7000,B,2,RENT,27600,25
15000,B,0,OWN,70000,24
8600,B,45,MORTGAGE,50000,23
10000,D,7,RENT,50004,29
10000,C,3,MORTGAGE,30000,35
8000,C,9,RENT,35000,23
5000,B,5,RENT,71000,22
18500,C,2,MORTGAGE,52000,30
5500,A,6,MORTGAGE,48000,29
7200,B,18,MORTGAGE,40000,35
5000,D,4,RENT,57996,24
7750,E,3,RENT,41558,31
7500,D,5,OWN,67000,22
4750,B,13,OWN,22440,26
8000,C,1,RENT,35000,28
13000,B,20,MORTGAGE,51000,21
2500,B,6,RENT,26568,42
10000,A,5,RENT,53000,21
6000,E,4,RENT,91650,24
8500,C,2,RENT,45000,25
9500,D,4,MORTGAGE,36000,23
8450,C,2,RENT,100000,22
15000,B,2,MORTGAGE,60000,27
4000,C,2,MORTGAGE,52000,27
5500,B,5,RENT,24000,28
1000,A,6,MORTGAGE,98000,28
5000,A,19,MORTGAGE,59000,28
1600,C,2,OWN,12360,24
11450,A,7,RENT,40000,29
15000,A,11,MORTGAGE,45600,30
12000,B,3,MORTGAGE,75000,31
15000,B,4,RENT,60000,23
2000,B,8,OWN,55308,42
5000,C,4,RENT,28000,23
12000,B,6,MORTGAGE,75000,24
16000,D,3,RENT,91200,24
5000,B,2,MORTGAGE,130000,27
11400,C,3,MORTGAGE,96000,22
6850,B,3,RENT,53000,22
12000,B,2,RENT,55000,32
8000,C,4,RENT,45000,24
5000,B,0,OWN,25000,27
2000,A,3,MORTGAGE,132000,26
18000,C,7,MORTGAGE,98000,22
6300,A,5,MORTGAGE,69930,33
20000,D,2,MORTGAGE,120000,39
2500,E,7,RENT,27024,25
5000,B,31,RENT,41000,25
10250,B,4,MORTGAGE,80000,36
11000,D,1,MORTGAGE,52500,29
1200,A,,OWN,36000,34
15000,E,14,RENT,71000,24
5000,C,1,RENT,40000,28
6000,C,11,MORTGAGE,85000,22
15000,D,1,RENT,65004,25
3600,C,0,MORTGAGE,75996,40
3725,B,8,MORTGAGE,27302.4,22
10000,A,17,RENT,84996,33
14075,B,2,RENT,27996,21
5000,C,,MORTGAGE,48000,35
18500,A,0,RENT,85000,24
21000,B,5,MORTGAGE,70000,22
9600,C,9,MORTGAGE,74400,43
4500,B,0,RENT,54300,22
16000,C,2,RENT,45000,24
18000,F,0,OWN,101300,27
3200,D,0,RENT,35004,25
7000,A,8,RENT,26004,25
8000,A,16,MORTGAGE,60000,30
2000,A,5,MORTGAGE,60000,35
12000,B,0,RENT,32500,22
7800,C,5,RENT,34000,21
24000,A,25,MORTGAGE,124992,31
14500,E,4,RENT,28800,32
8500,C,9,RENT,50000,25
12800,B,1,RENT,65000,29
10800,C,2,RENT,33000,21
14000,B,3,RENT,55000,29
16000,B,7,MORTGAGE,41196,23
12250,D,0,RENT,50000,22
2000,A,3,RENT,34884,23
1500,B,22,RENT,32304,24
20000,D,6,RENT,82042,23
8200,A,2,RENT,42996,33
8400,C,3,RENT,32000,30
4400,A,5,OWN,48000,24
6000,B,0,RENT,32000,38
6000,B,2,MORTGAGE,49200,25
6000,A,6,RENT,31000,21
3000,B,2,RENT,60000,28
4750,C,7,MORTGAGE,55500,27
8000,C,10,RENT,72000,22
7000,B,4,OWN,39120,23
8000,B,4,RENT,35000,24
9600,D,3,RENT,53000,21
25000,D,1,RENT,125000,29
8000,B,3,RENT,57996,34
6000,A,0,OWN,40000,22
19750,B,6,RENT,30000,23
2225,C,2,RENT,60000,36
3500,C,0,RENT,18000,22
7000,A,,MORTGAGE,90000,42
8000,B,5,RENT,42000,30
14125,B,,MORTGAGE,45696,22
3000,C,3,RENT,56000.04,24
9000,C,16,OWN,46800,23
16000,B,1,RENT,45000,23
8000,C,24,MORTGAGE,75000,24
12000,B,5,MORTGAGE,69996,23
