Age,Gender,OwnHome,Married,Location,Salary,Children,History,Catalogs,Cust_Id,Is_Good
Young,Female,Own,Married,Far,33700,0,,6,1286,0
Middle,Male,Own,Single,Close,62700,2,Medium,12,391,0
Young,Female,Own,Single,Close,25900,2,,12,795,0
Young,Female,Own,Single,Close,15600,1,Low,6,209,0
Old,Female,Own,Single,Close,14600,0,Low,24,228,0
Old,Female,Own,Married,Close,62600,0,High,6,1057,0
Young,Male,Rent,Married,Close,66700,0,,18,555,1
Middle,Male,Own,Married,Far,72500,0,,24,40,1
Young,Female,Rent,Single,Far,13200,0,,24,517,0
Middle,Female,Own,Single,Close,51300,0,Medium,24,874,1
Middle,Male,Own,Single,Far,72300,0,High,24,689,1
Young,Female,Rent,Single,Close,15600,0,,12,590,0
Middle,Female,Own,Married,Far,90400,1,High,18,253,1
Middle,Male,Own,Single,Far,71500,0,,6,255,0
Young,Male,Rent,Single,Close,14400,0,,24,419,0
Young,Male,Rent,Single,Close,15000,3,Low,6,593,0
Middle,Male,Own,Single,Close,57600,1,,6,927,0
Young,Female,Rent,Married,Close,60600,3,Low,12,1150,0
Middle,Male,Own,Married,Far,84300,2,High,18,1012,1
Young,Female,Own,Single,Close,24400,1,Low,6,991,0
Young,Female,Rent,Single,Close,22100,2,Low,18,806,0
Middle,Male,Rent,Married,Far,48800,2,,12,831,1
Middle,Female,Own,Married,Close,74700,1,Medium,6,353,0
Young,Female,Rent,Single,Far,32400,1,Medium,24,1189,0
Old,Female,Own,Single,Close,11400,0,,6,833,0
Middle,Male,Own,Married,Close,127000,0,,12,231,1
Middle,Male,Rent,Single,Close,47200,0,Medium,18,676,1
Middle,Female,Own,Single,Close,48700,2,Low,12,174,0
Young,Male,Rent,Single,Far,20400,0,Medium,18,12,0
Middle,Male,Rent,Single,Close,39000,0,,6,1064,0
Young,Female,Rent,Single,Close,12900,1,Low,6,120,0
Middle,Female,Rent,Married,Far,67300,1,High,18,70,1
Old,Male,Own,Married,Close,134500,0,High,24,170,1
Old,Male,Own,Married,Close,75500,0,High,6,552,0
Old,Female,Own,Married,Far,33600,2,Medium,12,581,0
Young,Female,Rent,Single,Close,16300,1,,12,499,0
Young,Male,Rent,Married,Close,27400,1,Low,6,370,0
Middle,Female,Own,Married,Close,110400,3,Low,24,885,0
Young,Female,Rent,Single,Far,21100,1,Low,6,250,0
Middle,Male,Own,Married,Close,81200,0,High,24,642,1
Middle,Male,Rent,Married,Far,87100,2,High,18,1072,1
Young,Female,Rent,Single,Far,21700,3,,24,233,0
Middle,Female,Rent,Single,Close,42200,0,,18,144,1
Middle,Male,Rent,Single,Far,59000,0,High,24,1157,1
Middle,Female,Own,Single,Close,52700,2,Low,18,529,0
Young,Male,Own,Single,Close,20900,0,Low,24,825,0
Middle,Male,Own,Married,Far,90700,3,High,24,541,1
Old,Female,Own,Married,Far,91800,0,,24,531,1
Young,Female,Own,Single,Far,27900,0,Medium,18,71,0
Old,Female,Own,Married,Close,70700,0,High,24,1014,1
Middle,Male,Own,Married,Close,79600,2,,6,625,1
Middle,Male,Rent,Married,Close,96400,1,High,24,1158,1
Middle,Female,Own,Single,Close,46600,2,,18,843,0
Old,Male,Own,Married,Close,106600,0,High,12,1278,1
Middle,Female,Rent,Married,Close,104900,3,Low,6,737,0
Old,Male,Rent,Single,Close,56300,0,Medium,6,74,0
Young,Female,Rent,Single,Close,14800,1,Low,6,51,0
Old,Male,Own,Married,Close,58300,0,Medium,24,519,1
Middle,Male,Own,Single,Far,70200,0,High,12,1092,1
Old,Male,Own,Married,Far,59700,0,High,18,797,1
Young,Male,Rent,Single,Close,25800,0,,6,1272,0
Young,Female,Rent,Single,Close,12000,0,Low,24,600,0
Middle,Male,Rent,Single,Far,51900,0,High,18,1245,1
Middle,Female,Own,Single,Far,66800,3,,24,775,1
Middle,Male,Own,Married,Close,105300,1,,18,684,1
Young,Female,Rent,Single,Far,13800,3,Low,6,879,0
Young,Male,Rent,Single,Close,14800,3,,12,338,0
Middle,Female,Own,Married,Far,44200,0,High,24,554,1
Young,Male,Rent,Single,Close,10400,0,,18,347,0
Middle,Female,Own,Single,Close,35200,0,Medium,12,509,0
Young,Female,Rent,Single,Far,16100,0,,6,657,0
Middle,Male,Own,Married,Close,113000,2,Medium,18,211,1
Middle,Male,Own,Married,Close,63300,2,,6,1012,0
Young,Male,Rent,Single,Close,19100,0,,6,508,0
Middle,Female,Own,Married,Close,93400,2,,24,488,1
Old,Female,Rent,Married,Far,52500,0,High,24,696,1
Middle,Female,Rent,Married,Far,45400,3,Medium,24,662,0
Young,Female,Own,Single,Far,21400,3,,6,624,0
Middle,Female,Own,Single,Close,53700,3,Low,12,414,0
Young,Female,Own,Married,Far,68000,0,High,24,404,1
Young,Male,Rent,Single,Close,17400,0,,12,1034,0
Young,Female,Rent,Single,Close,14600,1,Low,6,680,0
Old,Female,Own,Married,Far,100100,0,High,12,122,1
Middle,Male,Own,Married,Far,103700,1,High,24,1269,1
Young,Female,Rent,Single,Far,10800,3,Low,6,712,0
Middle,Female,Own,Married,Close,81700,3,Low,24,991,0
Old,Female,Rent,Single,Close,21400,0,Low,18,1034,0
Old,Female,Own,Married,Close,114800,0,High,18,176,1
Old,Female,Own,Married,Far,67900,0,High,24,1095,1
Middle,Male,Own,Married,Close,53700,1,,12,771,0
Young,Female,Rent,Single,Far,11400,3,,12,930,0
Young,Male,Rent,Married,Close,34300,3,,12,1265,1
Young,Female,Rent,Single,Close,16400,1,Low,12,308,0
Middle,Female,Own,Married,Far,109800,0,High,18,1024,1
Middle,Male,Own,Single,Close,64200,0,High,18,705,1
Young,Male,Rent,Single,Close,17000,0,,18,1230,0
Middle,Female,Rent,Single,Close,41400,3,Low,6,294,0
Middle,Female,Own,Single,Close,49100,2,Low,6,1118,0
Old,Female,Own,Single,Far,42600,0,High,24,1042,1
Young,Female,Rent,Single,Close,11900,1,Low,6,848,0
Middle,Male,Own,Married,Far,113600,2,High,18,139,1
Middle,Male,Own,Single,Close,52900,1,,24,89,1
Young,Female,Rent,Single,Close,14300,1,,18,648,0
Young,Male,Rent,Single,Close,21000,0,Low,24,1185,0
Middle,Male,Own,Single,Far,59600,2,Medium,18,484,1
Middle,Female,Rent,Single,Close,39700,3,Low,12,623,0
Old,Male,Own,Married,Close,51200,0,Medium,12,231,1
Middle,Female,Own,Married,Close,88200,0,,24,89,1
Middle,Male,Own,Married,Far,122100,0,High,12,869,1
Old,Female,Rent,Married,Close,84800,0,High,18,15,1
Middle,Male,Own,Married,Far,140000,0,High,12,865,1
Old,Female,Own,Single,Close,28500,0,Low,24,521,0
Middle,Male,Rent,Single,Close,60300,0,High,6,1101,0
Young,Female,Rent,Married,Far,51900,0,,6,897,0
Middle,Male,Own,Single,Close,60200,0,Medium,12,1052,1
Middle,Male,Own,Married,Far,81200,0,High,12,778,1
Old,Male,Own,Married,Close,73100,0,High,6,246,1
Old,Male,Own,Single,Close,45700,0,Medium,18,1035,0
Old,Female,Rent,Single,Close,28900,0,Low,12,1058,0
Young,Female,Rent,Married,Close,60100,0,,18,1116,1
Middle,Female,Own,Married,Close,84800,1,,12,931,1
Old,Female,Own,Married,Close,35000,0,Medium,6,1287,0
Young,Female,Rent,Married,Close,61700,0,,12,220,0
Old,Female,Rent,Married,Close,46900,0,Medium,6,710,0
Middle,Female,Own,Married,Close,123600,1,,12,379,1
Young,Male,Rent,Married,Close,45800,0,Medium,6,520,0
Middle,Male,Own,Married,Far,77800,1,High,18,325,1
Middle,Female,Own,Single,Close,48700,1,,12,959,1
Middle,Female,Rent,Single,Far,39000,3,Low,6,69,0
Young,Female,Rent,Married,Close,40000,0,,6,273,0
Middle,Female,Rent,Married,Close,118300,1,,18,165,1
Young,Female,Own,Single,Close,27100,2,Low,24,472,0
Middle,Female,Rent,Married,Close,91000,2,Medium,6,213,0
Middle,Female,Own,Married,Close,35300,0,Medium,24,1033,0
Young,Female,Rent,Single,Far,10200,2,Low,18,135,0
Young,Female,Rent,Single,Close,12500,1,Low,6,371,0
Old,Female,Own,Single,Close,64600,0,,6,1205,1
Middle,Male,Own,Married,Far,113800,0,,12,844,1
Middle,Male,Own,Married,Far,113400,3,High,18,92,1
Young,Female,Rent,Single,Close,16900,1,Low,6,439,0
Young,Female,Rent,Single,Close,13600,1,Low,6,975,0
Middle,Male,Own,Married,Far,100100,1,High,24,162,1
Old,Female,Own,Married,Far,80000,0,High,6,1260,1
Middle,Male,Own,Married,Close,83900,0,High,24,912,1
Middle,Male,Own,Married,Close,77000,0,High,12,824,1
Middle,Female,Rent,Married,Close,72900,3,Low,6,355,0
Young,Male,Rent,Married,Close,80700,3,Low,6,232,0
Young,Female,Rent,Married,Close,40900,1,Medium,18,439,0
Young,Female,Rent,Single,Close,26700,1,,12,636,0
Middle,Male,Own,Married,Close,54700,0,Medium,18,774,0
Old,Female,Rent,Married,Close,23600,1,Low,6,1221,0
Middle,Male,Rent,Single,Far,56900,0,High,24,146,1
Middle,Male,Own,Single,Far,68700,1,,24,806,1
Young,Female,Rent,Single,Close,19300,1,Low,24,254,0
Young,Male,Rent,Married,Far,20200,1,Low,24,599,0
Middle,Female,Rent,Married,Far,61500,3,Medium,24,1119,0
Middle,Female,Own,Married,Far,101700,1,,24,822,1
Middle,Female,Rent,Married,Far,120800,1,High,24,1227,1
Young,Female,Rent,Single,Far,17300,1,Low,18,65,0
Young,Female,Rent,Married,Close,42300,0,,6,833,0
Middle,Male,Rent,Single,Close,53300,0,Medium,18,516,1
Middle,Female,Rent,Single,Close,42800,0,Medium,12,416,0
Middle,Male,Own,Married,Close,98400,0,High,18,288,1
Middle,Female,Own,Single,Close,51200,0,Medium,18,1018,1
Old,Male,Own,Single,Close,62200,0,,12,779,1
Middle,Male,Own,Married,Close,109200,3,Low,24,303,0
Young,Female,Rent,Single,Close,11400,2,,6,1054,0
Young,Female,Rent,Single,Close,14000,0,Low,12,246,0
Old,Female,Rent,Married,Close,97000,0,,24,1131,1
Young,Female,Own,Single,Far,29600,3,,12,1221,0
Old,Male,Own,Married,Close,71200,1,Medium,12,945,0
Old,Female,Rent,Single,Far,15000,0,Low,12,287,0
Middle,Male,Rent,Married,Far,64000,1,,6,280,1
Old,Male,Own,Married,Far,33000,0,Medium,12,16,0
Old,Female,Own,Married,Close,74400,0,High,18,704,1
Young,Male,Rent,Single,Far,20300,2,Low,24,787,0
Middle,Male,Rent,Married,Close,68700,0,High,24,555,1
Young,Male,Rent,Married,Far,53600,3,Medium,24,205,1
Old,Female,Own,Single,Close,33200,0,Medium,24,496,0
Young,Female,Own,Married,Far,70900,0,,6,170,0
Young,Female,Rent,Single,Close,23200,3,,24,1124,0
Young,Male,Own,Single,Close,41400,0,Medium,18,489,0
Young,Female,Rent,Married,Close,63200,0,High,24,1083,1
Old,Male,Own,Married,Close,107400,0,High,12,370,1
Young,Male,Rent,Single,Far,13900,0,,24,456,0
Middle,Female,Rent,Married,Close,79900,1,Medium,18,852,0
Middle,Male,Own,Married,Far,120000,3,High,18,1086,1
Old,Male,Rent,Married,Far,66300,0,,18,571,1
Middle,Female,Own,Single,Close,54400,3,Low,18,695,0
Middle,Male,Own,Married,Close,84200,0,High,24,502,1
Young,Female,Rent,Married,Close,13800,0,Low,18,479,0
Young,Female,Rent,Single,Far,14500,1,Low,6,537,0
Young,Male,Rent,Single,Close,21300,0,Low,24,977,0
Old,Male,Rent,Single,Close,29000,0,Low,6,854,0
Old,Female,Rent,Single,Close,14600,1,Low,24,957,0
Old,Male,Own,Single,Close,65300,0,High,18,808,1
Middle,Female,Own,Married,Close,100800,1,High,24,708,1
Young,Female,Rent,Single,Far,19800,1,Low,24,110,0
Middle,Male,Own,Single,Close,56700,2,Low,18,852,0
Old,Male,Rent,Married,Close,90200,0,High,18,932,1
Young,Male,Rent,Single,Close,26100,1,,6,94,0
Young,Female,Rent,Single,Close,15900,0,Low,18,93,0
Young,Female,Rent,Single,Close,12700,3,Low,12,576,0
Middle,Male,Rent,Single,Close,43200,0,,24,328,0
Middle,Female,Rent,Married,Close,114100,1,,24,571,1
Middle,Male,Own,Married,Close,96100,3,Low,12,769,0
Middle,Male,Own,Married,Close,97200,0,,12,1003,1
Middle,Male,Own,Married,Far,82400,2,High,24,1052,1
Old,Male,Own,Single,Far,62000,0,High,24,1297,1
Young,Female,Rent,Single,Close,13400,1,Low,12,598,0
Middle,Male,Own,Married,Close,108200,3,Low,12,605,0
Young,Female,Own,Married,Close,76200,0,High,12,872,0
Middle,Male,Rent,Married,Close,81800,1,High,18,370,1
Young,Female,Rent,Single,Far,12000,0,Low,6,19,0
Middle,Male,Own,Married,Close,76100,0,,6,262,0
Middle,Male,Own,Married,Close,82100,1,High,18,234,1
Old,Female,Own,Married,Close,103300,0,High,24,353,1
Young,Male,Rent,Single,Close,14200,1,,24,374,0
Middle,Female,Own,Single,Far,47500,0,High,6,958,0
Young,Female,Rent,Single,Close,31300,1,Low,6,1149,0
Young,Female,Rent,Married,Far,32700,1,,18,633,1
Middle,Male,Own,Married,Close,72200,0,High,24,477,1
Middle,Female,Own,Married,Close,107600,2,Medium,12,607,1
Middle,Male,Own,Married,Close,109900,2,Medium,12,1170,0
Middle,Female,Own,Married,Close,65400,2,Medium,24,579,0
Old,Female,Own,Single,Close,43300,0,,12,55,1
Old,Female,Own,Single,Close,51900,0,Medium,12,154,0
Middle,Female,Own,Married,Far,80600,0,High,24,569,1
Middle,Female,Rent,Single,Close,42700,0,Medium,12,452,0
Young,Male,Rent,Single,Far,19000,0,,12,1033,0
Young,Female,Rent,Single,Close,14500,1,Low,6,139,0
Middle,Female,Own,Married,Close,68200,1,,6,619,0
Young,Male,Rent,Married,Close,36700,0,Medium,12,1053,0
Old,Male,Own,Married,Far,54600,0,High,24,103,1
Middle,Male,Own,Married,Close,65900,1,Medium,12,1168,0
Young,Male,Own,Single,Far,39600,0,,12,1138,0
Young,Male,Rent,Married,Far,67300,3,,6,540,0
Middle,Male,Own,Single,Close,59700,1,,18,546,1
Middle,Female,Own,Married,Far,102800,2,High,18,200,1
Middle,Female,Rent,Single,Close,34700,0,,18,448,1
Middle,Male,Own,Single,Close,50600,3,,6,823,0
Middle,Male,Rent,Married,Close,106700,2,Medium,6,273,0
Middle,Male,Rent,Single,Close,53900,1,Medium,6,1096,0
Young,Female,Rent,Married,Close,25500,2,Low,6,480,0
Young,Male,Rent,Married,Far,46300,1,Medium,18,501,1
Old,Male,Own,Married,Close,55500,0,Medium,18,42,0
Young,Female,Own,Single,Close,27800,3,,12,76,0
Middle,Male,Own,Married,Close,118600,1,,12,1069,1
Middle,Female,Own,Married,Close,130700,3,,6,94,1
Old,Male,Rent,Single,Close,42800,0,Medium,12,110,0
Middle,Female,Own,Married,Far,118300,1,High,12,393,1
Young,Female,Rent,Single,Far,25600,2,,18,855,0
Middle,Male,Rent,Married,Close,63500,2,,24,75,1
Old,Female,Own,Single,Close,30900,0,Medium,18,1106,0
Middle,Male,Own,Single,Close,55900,1,,24,231,1
Middle,Male,Own,Single,Far,53900,0,,12,301,0
Old,Male,Own,Married,Close,84300,0,High,24,815,1
Old,Male,Own,Single,Close,53400,1,Medium,12,549,0
Middle,Male,Own,Married,Close,96900,1,High,12,1240,1
Middle,Male,Rent,Single,Far,55800,1,,6,255,0
Young,Female,Rent,Married,Close,25900,1,Low,6,591,0
Young,Female,Rent,Single,Close,22000,1,Low,12,400,0
Middle,Female,Rent,Married,Close,96700,2,Medium,12,276,1
Middle,Female,Rent,Single,Close,40200,1,,12,1057,0
Old,Male,Own,Married,Close,26800,0,Low,12,454,0
Young,Female,Rent,Single,Close,16700,2,Low,12,759,0
Young,Female,Rent,Married,Close,40900,2,Low,18,991,0
Young,Male,Rent,Married,Far,41500,3,,24,1047,1
Young,Male,Rent,Single,Close,20900,0,,6,459,0
Young,Female,Rent,Married,Close,69700,2,Medium,6,1190,0
Middle,Male,Rent,Single,Close,61800,0,High,24,1096,0
Middle,Male,Own,Married,Close,102500,1,High,24,250,1
Middle,Female,Own,Married,Close,48900,3,,18,1199,0
Middle,Male,Own,Single,Close,60300,0,,24,896,1
Young,Male,Rent,Married,Far,41600,0,High,24,801,1
Middle,Male,Own,Single,Close,73700,1,Medium,12,357,1
Young,Female,Rent,Single,Close,27000,1,,24,898,0
Middle,Female,Rent,Single,Close,43700,0,Medium,12,990,0
Young,Male,Rent,Single,Close,10200,2,,12,151,0
Middle,Female,Own,Married,Close,63300,2,Medium,24,518,0
Young,Female,Own,Single,Far,33200,2,Medium,12,392,0
Old,Female,Own,Married,Far,78800,0,High,18,376,1
Middle,Male,Own,Married,Close,82500,0,High,6,588,0
Middle,Male,Own,Single,Far,80800,2,High,18,643,1
Middle,Male,Own,Married,Close,88100,2,Medium,24,452,0
Middle,Male,Rent,Married,Far,124800,3,High,18,1077,1
Young,Male,Own,Single,Close,31900,0,Medium,6,1093,0
Middle,Female,Own,Single,Close,53300,3,,6,863,0
Old,Male,Own,Married,Far,15400,0,Low,6,1290,0
Middle,Male,Own,Married,Close,70200,0,,6,579,1
Young,Female,Rent,Single,Close,23000,3,Low,6,810,0
Middle,Female,Own,Married,Close,82400,2,Medium,18,600,0
Middle,Female,Own,Married,Close,97900,0,High,24,1275,1
Old,Female,Rent,Married,Far,88400,0,High,18,1162,1
Middle,Female,Own,Married,Close,86900,0,High,18,315,1
Middle,Female,Own,Single,Close,45100,1,Medium,12,1096,0
Middle,Male,Rent,Single,Close,41800,3,Low,24,392,0
Old,Male,Own,Married,Close,74800,0,High,18,1073,1
Middle,Female,Rent,Married,Close,73000,1,Medium,6,16,0
Middle,Male,Own,Married,Close,118500,1,High,24,829,1
Middle,Male,Own,Single,Close,65300,3,Low,6,1176,0
Middle,Female,Rent,Married,Close,66300,2,Medium,12,134,0
Middle,Male,Own,Married,Far,103900,1,High,24,175,1
Middle,Female,Own,Married,Close,71900,0,High,18,1271,1
Middle,Male,Own,Married,Far,86100,1,,12,137,1
Middle,Male,Own,Married,Close,96300,1,High,12,38,0
Young,Female,Rent,Single,Close,10200,3,,6,366,0
Middle,Male,Own,Married,Close,96300,2,,18,1148,1
Old,Female,Own,Single,Far,24000,1,Low,6,309,0
Middle,Female,Rent,Married,Close,46700,0,Medium,24,147,0
Middle,Female,Rent,Single,Close,53700,2,,12,844,0
Middle,Male,Rent,Married,Close,108300,2,,12,1052,1
Young,Female,Rent,Single,Close,12100,1,Low,6,287,0
Young,Male,Rent,Married,Close,36600,0,,6,743,0
Old,Male,Own,Married,Close,66300,0,High,12,601,0
Young,Female,Own,Single,Close,33400,1,,6,370,0
Middle,Male,Own,Married,Far,70000,1,,6,1193,1
Middle,Female,Own,Single,Close,47900,1,Medium,24,579,0
Middle,Female,Rent,Married,Close,40500,2,Low,18,731,0
Old,Male,Own,Single,Close,69100,0,High,12,1236,1
Young,Female,Rent,Single,Close,13300,1,,6,453,0
Middle,Female,Rent,Married,Far,75800,1,High,12,346,1
Middle,Female,Rent,Married,Close,48600,0,Medium,24,279,1
Old,Female,Own,Single,Close,39600,0,Medium,12,86,0
Young,Female,Rent,Single,Close,11700,0,Low,12,374,0
Young,Male,Rent,Married,Close,52600,1,Medium,12,315,0
Young,Male,Rent,Single,Close,14600,3,,6,205,0
Old,Male,Own,Married,Close,123000,0,High,24,584,1
Old,Female,Rent,Married,Far,64600,0,High,18,820,1
Middle,Female,Own,Single,Far,34600,2,Medium,18,188,0
Middle,Male,Own,Married,Close,74500,0,High,6,1132,1
Old,Male,Own,Married,Close,56600,0,,24,489,1
Old,Female,Rent,Single,Close,37000,1,,6,920,0
Young,Female,Rent,Single,Far,18400,1,Low,6,1297,0
Young,Male,Rent,Single,Close,25000,0,Low,6,1107,0
Middle,Male,Own,Married,Far,61400,1,High,24,618,1
Middle,Male,Own,Married,Close,76400,2,Medium,18,270,0
Young,Male,Own,Married,Close,55100,0,Medium,18,1027,1
Old,Female,Own,Married,Far,22800,0,,12,583,0
Old,Female,Own,Married,Close,10100,1,Low,6,642,0
Young,Male,Rent,Single,Close,17800,0,Low,18,1043,0
Middle,Female,Own,Married,Close,59100,1,,6,821,1
Young,Female,Rent,Single,Far,19700,2,Low,6,401,0
Middle,Male,Own,Married,Far,73800,0,High,24,979,1
Middle,Male,Own,Married,Far,113300,1,High,18,207,1
Middle,Male,Own,Married,Far,118400,2,,12,728,1
Middle,Male,Own,Married,Close,92300,1,,24,128,1
Young,Male,Rent,Single,Close,11200,0,,6,1001,0
Young,Female,Rent,Married,Far,30100,0,Medium,12,321,0
Middle,Female,Own,Single,Close,43500,1,Medium,12,679,0
Middle,Male,Own,Married,Close,97500,0,High,18,1061,1
Old,Male,Own,Married,Close,54600,0,Medium,24,983,1
Middle,Male,Rent,Single,Far,42500,1,,6,423,0
Middle,Male,Own,Single,Close,82800,0,,6,199,1
Old,Male,Own,Married,Far,62300,0,High,24,1000,1
Young,Male,Rent,Single,Far,21900,2,,6,727,0
Middle,Female,Rent,Single,Far,35600,3,Low,18,880,0
Middle,Male,Own,Married,Close,96900,0,High,6,694,0
Young,Female,Rent,Married,Close,36900,1,,18,175,1
Middle,Female,Rent,Married,Close,93500,1,High,18,1212,1
Middle,Male,Own,Married,Close,97300,1,,12,808,1
Young,Male,Rent,Single,Close,21900,0,Low,12,671,0
Middle,Male,Rent,Single,Close,63000,0,High,24,1056,1
Young,Female,Rent,Single,Close,11500,3,,6,733,0
Middle,Male,Own,Single,Close,44600,2,Low,6,211,0
Young,Female,Rent,Single,Close,21900,1,,12,316,0
Middle,Male,Rent,Single,Far,45100,1,Medium,12,603,0
Old,Female,Own,Married,Close,74900,0,High,12,827,1
Young,Male,Rent,Single,Close,14200,0,Low,6,620,0
Young,Female,Rent,Single,Far,23200,2,,24,1204,0
Old,Male,Own,Married,Close,73300,0,,12,341,1
Old,Male,Own,Married,Far,41300,0,High,24,1121,1
Old,Female,Own,Single,Far,32700,0,Medium,24,1134,1
Old,Female,Own,Single,Close,35200,0,,12,971,0
Young,Female,Rent,Single,Close,13100,0,,18,1146,0
Middle,Male,Own,Married,Close,97400,1,High,6,471,0
Young,Female,Rent,Single,Far,23100,2,Low,6,522,0
Middle,Male,Own,Single,Close,49200,3,Low,12,482,0
Middle,Male,Own,Single,Far,45000,1,,18,740,0
Middle,Male,Own,Married,Close,87200,0,High,18,130,1
Middle,Male,Own,Single,Close,49900,1,,24,683,1
Middle,Male,Own,Married,Close,66900,0,High,12,399,1
Middle,Female,Own,Single,Close,47600,1,Medium,12,173,0
Middle,Female,Own,Single,Close,47900,0,,12,317,0
Middle,Male,Own,Single,Close,59400,0,Medium,18,71,1
Middle,Female,Rent,Single,Close,32700,2,Low,6,841,0
Middle,Male,Rent,Single,Close,34200,1,Low,18,174,0
Middle,Male,Own,Married,Close,96600,0,,12,21,1
Middle,Female,Own,Married,Close,126300,1,High,6,570,1
Young,Male,Rent,Single,Close,31600,1,,12,861,0
Middle,Female,Own,Married,Far,108100,3,High,18,29,1
Middle,Female,Rent,Single,Close,43300,3,Low,24,424,0
Old,Female,Rent,Single,Far,17900,0,Low,6,638,0
Middle,Male,Own,Single,Far,50100,1,High,18,312,0
Old,Female,Own,Married,Close,74700,0,High,12,763,1
Old,Male,Rent,Married,Close,60000,0,Medium,6,807,0
Young,Male,Own,Single,Close,33400,0,,12,311,0
Middle,Female,Rent,Married,Close,68800,0,,6,470,1
Middle,Female,Rent,Single,Close,25700,2,Low,6,131,0
Middle,Male,Own,Married,Close,83700,0,High,24,481,1
Middle,Male,Rent,Single,Close,50500,0,Medium,12,396,0
Young,Female,Rent,Single,Close,17300,0,Low,12,1080,0
Middle,Male,Own,Single,Close,45800,0,,6,240,0
Old,Male,Own,Married,Close,108900,0,High,12,331,1
Middle,Female,Rent,Married,Close,60500,2,Low,6,45,0
Old,Female,Own,Married,Far,84100,0,High,18,1216,1
Young,Male,Rent,Married,Far,25100,0,Medium,12,735,0
Middle,Male,Own,Married,Close,69900,1,,18,77,1
Middle,Male,Own,Married,Close,97100,0,,12,1206,1
Middle,Female,Own,Married,Close,72200,2,Medium,18,903,0
Old,Female,Own,Married,Far,78900,0,High,18,612,1
Middle,Female,Own,Single,Far,62500,3,,6,657,0
