Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Location Type,Incident Address
32307228,12/31/2015 02:11:18 PM,12/31/2015 10:43:45 PM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,862 CONEY ISLAND AVENUE
32310451,12/31/2015 01:58:41 PM,12/31/2015 03:21:50 PM,NYPD,New York City Police Department,Vending,Street/Sidewalk,901 6 AVENUE
32308805,12/31/2015 01:16:07 PM,12/31/2015 03:28:34 PM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,340 DEVOE STREET
32305792,12/31/2015 12:49:43 PM,12/31/2015 01:21:14 PM,NYPD,New York City Police Department,Drinking,Club/Bar/Restaurant,2484 ARTHUR KILL ROAD
32306902,12/31/2015 12:47:38 PM,12/31/2015 03:21:48 PM,NYPD,New York City Police Department,Vending,Store/Commercial,300 WEST 40 STREET
32306493,12/31/2015 12:43:00 PM,12/31/2015 02:10:16 PM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,
32309808,12/31/2015 12:38:40 PM,12/31/2015 01:08:21 PM,NYPD,New York City Police Department,Vending,Street/Sidewalk,463 BROADWAY
32306494,12/31/2015 12:30:30 PM,12/31/2015 07:08:07 PM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,171-05 JEWEL AVENUE
32306824,12/31/2015 12:22:30 PM,12/31/2015 01:08:22 PM,NYPD,New York City Police Department,Vending,Street/Sidewalk,557 BROADWAY
32310256,12/31/2015 12:22:30 PM,12/31/2015 04:34:48 PM,NYPD,New York City Police Department,Traffic,Street/Sidewalk,
32310473,12/31/2015 12:21:07 PM,12/31/2015 01:08:23 PM,NYPD,New York City Police Department,Vending,Street/Sidewalk,555 BROADWAY
32310452,12/31/2015 12:19:34 PM,12/31/2015 01:08:24 PM,NYPD,New York City Police Department,Vending,Street/Sidewalk,537 BROADWAY
32310491,12/31/2015 12:17:43 PM,12/31/2015 01:08:24 PM,NYPD,New York City Police Department,Vending,Street/Sidewalk,537 BROADWAY
32309806,12/31/2015 12:15:29 PM,12/31/2015 01:08:26 PM,NYPD,New York City Police Department,Vending,Street/Sidewalk,517 BROADWAY
32308969,12/31/2015 12:13:52 PM,12/31/2015 01:08:28 PM,NYPD,New York City Police Department,Vending,Street/Sidewalk,515 BROADWAY
32305132,12/31/2015 12:12:16 PM,12/31/2015 03:41:41 PM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,34 ADELPHI STREET
32308045,12/31/2015 12:11:01 PM,12/31/2015 04:13:25 PM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,161-23 88 STREET
32309388,12/31/2015 11:57:22 AM,12/31/2015 07:02:51 PM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,61-78 78 STREET
32305894,12/31/2015 11:56:47 AM,12/31/2015 08:38:20 PM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,210 EAST 36 STREET
32307341,12/31/2015 11:47:48 AM,12/31/2015 02:30:49 PM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,919 EASTERN PARKWAY
32307342,12/31/2015 11:47:32 AM,12/31/2015 04:26:09 PM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,EAST 54 STREET
32308804,12/31/2015 11:47:28 AM,12/31/2015 12:12:46 PM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,2627 EAST 22 STREET
32306132,12/31/2015 11:34:14 AM,12/31/2015 01:09:33 PM,NYPD,New York City Police Department,Vending,Street/Sidewalk,547 BROADWAY
32306630,12/31/2015 11:33:13 AM,12/31/2015 02:55:31 PM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,1450 EAST 5 STREET
32309035,12/31/2015 11:32:05 AM,12/31/2015 01:09:35 PM,NYPD,New York City Police Department,Vending,Street/Sidewalk,515 BROADWAY
32309005,12/31/2015 11:25:13 AM,12/31/2015 11:28:51 AM,NYPD,New York City Police Department,Vending,Street/Sidewalk,547 BROADWAY
32309006,12/31/2015 11:23:22 AM,12/31/2015 11:28:52 AM,NYPD,New York City Police Department,Vending,Street/Sidewalk,515 BROADWAY
32308659,12/31/2015 11:17:18 AM,12/31/2015 11:30:07 AM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,2795 FORD STREET
32306889,12/31/2015 11:12:26 AM,12/31/2015 11:19:50 AM,NYPD,New York City Police Department,Vending,Street/Sidewalk,547 BROADWAY
32310477,12/31/2015 11:10:33 AM,12/31/2015 11:19:51 AM,NYPD,New York City Police Department,Vending,Street/Sidewalk,515 BROADWAY
32309746,12/31/2015 10:58:40 AM,12/31/2015 11:07:48 AM,NYPD,New York City Police Department,Vending,Street/Sidewalk,537 BROADWAY
32306903,12/31/2015 10:54:50 AM,12/31/2015 10:59:37 AM,NYPD,New York City Police Department,Vending,Street/Sidewalk,515 BROADWAY
32306482,12/31/2015 10:20:55 AM,12/31/2015 10:28:08 AM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,CROSS ISLAND PARKWAY SERVICE ROAD
32306100,12/31/2015 10:14:17 AM,12/31/2015 10:17:46 AM,NYPD,New York City Police Department,Vending,Street/Sidewalk,537 BROADWAY
32306133,12/31/2015 10:12:07 AM,12/31/2015 10:18:51 AM,NYPD,New York City Police Department,Vending,Street/Sidewalk,515 BROADWAY
32306629,12/31/2015 10:09:32 AM,12/31/2015 12:12:38 PM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,141-37 84 DRIVE
32308725,12/31/2015 10:03:54 AM,12/31/2015 12:12:39 PM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,141-20 84 DRIVE
32309389,12/31/2015 10:01:42 AM,12/31/2015 12:12:40 PM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,141-37 84 DRIVE
32305895,12/31/2015 09:59:55 AM,12/31/2015 12:04:06 PM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,629 GRAND AVENUE
32308001,12/31/2015 09:56:59 AM,12/31/2015 12:12:42 PM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,141-37 84 DRIVE
32309807,12/31/2015 09:56:07 AM,12/31/2015 10:38:52 AM,NYPD,New York City Police Department,Vending,Street/Sidewalk,250 EAST 53 STREET
32308836,12/31/2015 09:55:24 AM,12/31/2015 02:00:31 PM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,
32310193,12/31/2015 09:54:25 AM,12/31/2015 12:12:43 PM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,141-20 84 DRIVE
32310196,12/31/2015 09:42:44 AM,12/31/2015 09:52:23 AM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,144-20 109 AVENUE
32309571,12/31/2015 09:37:39 AM,12/31/2015 02:55:30 PM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,1488 EAST 10 STREET
32306628,12/31/2015 09:37:38 AM,12/31/2015 11:14:59 AM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,4811 OSGOOD STREET
32305756,12/31/2015 09:24:35 AM,12/31/2015 12:57:32 PM,NYPD,New York City Police Department,Drinking,Club/Bar/Restaurant,2364 MCDONALD AVENUE
32307343,12/31/2015 08:51:22 AM,12/31/2015 09:43:09 AM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,441-01 WILLOW ROAD EAST
32306484,12/31/2015 08:38:49 AM,12/31/2015 10:01:14 AM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,2 UNION AVENUE
32308622,12/31/2015 08:37:34 AM,12/31/2015 08:50:21 AM,NYPD,New York City Police Department,Drinking,Club/Bar/Restaurant,130-35 91 AVENUE
32306483,12/31/2015 08:15:02 AM,12/31/2015 09:00:24 AM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,53 WASHINGTON PLACE
32305896,12/31/2015 08:15:00 AM,12/31/2015 09:51:17 AM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,107-20 PRINCETON STREET
32310194,12/31/2015 07:43:04 AM,12/31/2015 10:17:45 AM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,
32305130,12/31/2015 07:11:06 AM,12/31/2015 05:16:40 PM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,
32308046,12/31/2015 06:59:09 AM,12/31/2015 04:34:49 PM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,399 PARK AVENUE
32305796,12/31/2015 05:49:46 AM,12/31/2015 07:45:20 AM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,150 NASSAU STREET
32310104,12/31/2015 02:19:11 AM,12/31/2015 05:35:25 AM,NYPD,New York City Police Department,Drinking,Club/Bar/Restaurant,TIMES SQUARE
32300494,12/31/2015 01:14:35 AM,12/31/2015 05:12:15 AM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,77-11 247 STREET
32297659,12/30/2015 11:50:33 PM,12/31/2015 01:45:53 AM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,24 KOSSUTH PLACE
32302447,12/30/2015 11:17:15 PM,12/31/2015 08:26:41 AM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,109-31 115 STREET
32302318,12/30/2015 10:51:04 PM,12/31/2015 05:32:14 AM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,32-58 54 STREET
32304122,12/30/2015 10:46:21 PM,12/30/2015 11:44:46 PM,NYPD,New York City Police Department,Drinking,Club/Bar/Restaurant,192 AVENUE U
32300507,12/30/2015 09:08:48 PM,12/31/2015 01:15:34 AM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,117-48 222 STREET
32299531,12/30/2015 08:50:54 PM,12/30/2015 09:00:23 PM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,3055 BRIGHTON 1 PLACE
32299507,12/30/2015 08:28:19 PM,12/31/2015 10:44:44 AM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,820 CRANFORD AVENUE
32300836,12/30/2015 08:16:17 PM,12/30/2015 09:25:47 PM,NYPD,New York City Police Department,Vending,Store/Commercial,4717 5 AVENUE
32298600,12/30/2015 08:15:23 PM,12/30/2015 09:00:23 PM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,3055 BRIGHTON 1 PLACE
32302220,12/30/2015 07:43:56 PM,12/30/2015 08:48:53 PM,NYPD,New York City Police Department,Traffic,Street/Sidewalk,
32298590,12/30/2015 07:28:53 PM,12/31/2015 09:26:47 AM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,
32301755,12/30/2015 07:27:10 PM,12/30/2015 10:38:58 PM,NYPD,New York City Police Department,Vending,Store/Commercial,729 7 AVENUE
32304600,12/30/2015 07:25:07 PM,12/30/2015 10:38:59 PM,NYPD,New York City Police Department,Vending,Store/Commercial,729 7 AVENUE
32304149,12/30/2015 07:20:43 PM,12/30/2015 07:49:47 PM,NYPD,New York City Police Department,Traffic,Street/Sidewalk,
32301385,12/30/2015 07:00:38 PM,12/30/2015 09:56:40 PM,NYPD,New York City Police Department,Traffic,Street/Sidewalk,
32303174,12/30/2015 06:56:36 PM,12/30/2015 07:11:07 PM,NYPD,New York City Police Department,Traffic,Street/Sidewalk,
32297661,12/30/2015 06:48:22 PM,12/30/2015 09:49:18 PM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,2627 EAST 22 STREET
32301322,12/30/2015 06:35:37 PM,12/30/2015 06:45:58 PM,NYPD,New York City Police Department,Traffic,Street/Sidewalk,
32298940,12/30/2015 06:03:59 PM,12/30/2015 08:01:36 PM,NYPD,New York City Police Department,Vending,Street/Sidewalk,31 HUGH J GRANT CIRCLE
32302250,12/30/2015 05:55:12 PM,12/30/2015 08:56:09 PM,NYPD,New York City Police Department,Derelict Vehicle,Vacant Lot,584 EAST 137 STREET
32304291,12/30/2015 05:33:37 PM,12/30/2015 06:58:35 PM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,232 MERRILL AVENUE
32301754,12/30/2015 05:00:34 PM,12/30/2015 10:23:57 PM,NYPD,New York City Police Department,Vending,Street/Sidewalk,555 BROADWAY
32301654,12/30/2015 04:55:27 PM,12/30/2015 10:23:58 PM,NYPD,New York City Police Department,Vending,Street/Sidewalk,555 BROADWAY
32303693,12/30/2015 04:52:11 PM,12/30/2015 10:25:00 PM,NYPD,New York City Police Department,Vending,Street/Sidewalk,557 BROADWAY
32299888,12/30/2015 04:49:10 PM,12/30/2015 10:25:01 PM,NYPD,New York City Police Department,Vending,Street/Sidewalk,557 BROADWAY
32301803,12/30/2015 04:45:49 PM,12/30/2015 10:25:03 PM,NYPD,New York City Police Department,Vending,Street/Sidewalk,515 BROADWAY
32304608,12/30/2015 04:42:59 PM,12/30/2015 10:25:04 PM,NYPD,New York City Police Department,Vending,Street/Sidewalk,515 BROADWAY
32302642,12/30/2015 04:41:38 PM,12/30/2015 05:30:47 PM,NYPD,New York City Police Department,Vending,Street/Sidewalk,
32301741,12/30/2015 04:37:38 PM,12/30/2015 10:25:04 PM,NYPD,New York City Police Department,Vending,Street/Sidewalk,439 BROADWAY
32299538,12/30/2015 04:20:29 PM,12/30/2015 06:58:33 PM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,22 WINANT STREET
32302435,12/30/2015 04:18:36 PM,12/30/2015 07:34:51 PM,NYPD,New York City Police Department,Traffic,Street/Sidewalk,
32300481,12/30/2015 04:16:53 PM,12/30/2015 04:30:33 PM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,370 DELAWARE AVENUE
32303186,12/30/2015 04:12:04 PM,12/30/2015 08:37:19 PM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,164-21 109 AVENUE
32299373,12/30/2015 04:11:37 PM,12/30/2015 07:34:49 PM,NYPD,New York City Police Department,Traffic,Street/Sidewalk,
32299533,12/30/2015 03:45:31 PM,12/30/2015 10:54:57 PM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,717 REVERE AVENUE
32298841,12/30/2015 03:35:30 PM,12/30/2015 10:51:45 PM,NYPD,New York City Police Department,Vending,Street/Sidewalk,767 LEXINGTON AVENUE
32300352,12/30/2015 03:33:30 PM,12/31/2015 12:04:51 AM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,89-11 63 DRIVE
32302643,12/30/2015 03:23:28 PM,12/30/2015 03:31:07 PM,NYPD,New York City Police Department,Vending,Street/Sidewalk,
32303694,12/30/2015 03:16:56 PM,12/30/2015 08:14:11 PM,NYPD,New York City Police Department,Vending,Street/Sidewalk,4717 5 AVENUE
32299911,12/30/2015 03:00:54 PM,12/30/2015 07:49:48 PM,NYPD,New York City Police Department,Vending,Street/Sidewalk,901 6 AVENUE
32304204,12/30/2015 02:48:34 PM,12/30/2015 08:26:50 PM,NYPD,New York City Police Department,Traffic,Street/Sidewalk,186-18 MIDLAND PARKWAY
32300867,12/30/2015 02:46:08 PM,12/30/2015 03:31:06 PM,NYPD,New York City Police Department,Vending,Street/Sidewalk,557 BROADWAY
32304618,12/30/2015 02:44:23 PM,12/30/2015 05:30:48 PM,NYPD,New York City Police Department,Vending,Street/Sidewalk,
32298019,12/30/2015 02:43:23 PM,12/30/2015 03:31:05 PM,NYPD,New York City Police Department,Vending,Street/Sidewalk,557 BROADWAY
32300473,12/30/2015 02:42:37 PM,12/31/2015 01:31:36 AM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,155-32 100 STREET
32299912,12/30/2015 02:41:16 PM,12/30/2015 03:31:04 PM,NYPD,New York City Police Department,Vending,Street/Sidewalk,555 BROADWAY
32303599,12/30/2015 02:39:35 PM,12/30/2015 03:31:02 PM,NYPD,New York City Police Department,Vending,Street/Sidewalk,555 BROADWAY
32302640,12/30/2015 02:37:25 PM,12/30/2015 03:31:03 PM,NYPD,New York City Police Department,Vending,Street/Sidewalk,521 BROADWAY
32304537,12/30/2015 02:30:53 PM,12/30/2015 03:29:59 PM,NYPD,New York City Police Department,Vending,Street/Sidewalk,515 BROADWAY
32297960,12/30/2015 02:28:42 PM,12/30/2015 03:20:47 PM,NYPD,New York City Police Department,Vending,Street/Sidewalk,515 BROADWAY
32301464,12/30/2015 02:28:26 PM,12/30/2015 10:53:54 PM,NYPD,New York City Police Department,Derelict Vehicle,Vacant Lot,FERRY POINT PARK
32300472,12/30/2015 02:26:12 PM,12/30/2015 08:26:49 PM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,144-52 72 ROAD
32297652,12/30/2015 02:24:18 PM,12/31/2015 02:23:09 AM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,22-11 72 STREET
32299537,12/30/2015 02:22:40 PM,12/30/2015 03:35:30 PM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,92-12 212 STREET
32303317,12/30/2015 02:20:15 PM,12/31/2015 03:58:37 PM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,22-21 72 STREET
32303318,12/30/2015 02:17:50 PM,12/30/2015 03:25:31 PM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,115-22 170 STREET
32299396,12/30/2015 02:13:10 PM,12/30/2015 04:48:09 PM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,769 DREW STREET
32301366,12/30/2015 02:04:09 PM,12/30/2015 03:08:40 PM,NYPD,New York City Police Department,Traffic,Street/Sidewalk,
32297645,12/30/2015 02:03:06 PM,12/30/2015 04:46:57 PM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,2627 EAST 22 STREET
32302365,12/30/2015 01:59:22 PM,12/30/2015 07:16:27 PM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,215 EAST 9 STREET
32297609,12/30/2015 01:58:08 PM,12/30/2015 03:23:17 PM,NYPD,New York City Police Department,Traffic,Street/Sidewalk,
32300496,12/30/2015 01:46:05 PM,12/30/2015 05:23:29 PM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,42-50 205 STREET
32301444,12/30/2015 01:40:54 PM,12/30/2015 03:32:10 PM,NYPD,New York City Police Department,Traffic,Street/Sidewalk,WEST 93 STREET
32298890,12/30/2015 01:35:19 PM,12/30/2015 02:05:21 PM,NYPD,New York City Police Department,Vending,Street/Sidewalk,60 WALL STREET
32297660,12/30/2015 01:30:24 PM,12/30/2015 04:48:07 PM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,2627 EAST 22 STREET
32300474,12/30/2015 01:29:27 PM,12/31/2015 01:30:27 AM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,151 AVENUE
32304581,12/30/2015 01:22:02 PM,12/30/2015 03:19:03 PM,NYPD,New York City Police Department,Vending,Street/Sidewalk,135-26 40 ROAD
32303201,12/30/2015 01:20:24 PM,12/30/2015 02:40:18 PM,NYPD,New York City Police Department,Traffic,Street/Sidewalk,
32298550,12/30/2015 01:18:55 PM,12/30/2015 07:47:39 PM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,432 CLIFTON AVENUE
32298003,12/30/2015 01:14:52 PM,12/30/2015 03:29:57 PM,NYPD,New York City Police Department,Vending,Street/Sidewalk,135-28 40 ROAD
32301282,12/30/2015 01:04:25 PM,12/30/2015 01:47:56 PM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,50-17 67 STREET
32302597,12/30/2015 01:02:25 PM,12/30/2015 02:54:28 PM,NYPD,New York City Police Department,Vending,Street/Sidewalk,5 AVENUE
32299532,12/30/2015 12:57:16 PM,12/30/2015 04:48:08 PM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,2627 EAST 22 STREET
32303183,12/30/2015 12:52:17 PM,12/30/2015 03:20:40 PM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,1100 NEILL AVENUE
32300477,12/30/2015 12:40:03 PM,12/30/2015 02:53:24 PM,NYPD,New York City Police Department,Traffic,Street/Sidewalk,
32303248,12/30/2015 12:35:31 PM,12/30/2015 12:56:15 PM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,1450 EAST 5 STREET
32304148,12/30/2015 12:34:33 PM,12/30/2015 09:56:42 PM,NYPD,New York City Police Department,Traffic,Street/Sidewalk,
32303405,12/30/2015 12:31:06 PM,12/30/2015 03:08:40 PM,NYPD,New York City Police Department,Traffic,Street/Sidewalk,
32302451,12/30/2015 12:28:41 PM,12/30/2015 07:25:03 PM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,1415 50 STREET
32297646,12/30/2015 12:28:12 PM,12/30/2015 08:13:06 PM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,340 DEVOE STREET
32304290,12/30/2015 12:22:16 PM,12/30/2015 07:11:08 PM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,85-30 68 AVENUE
32303600,12/30/2015 12:20:35 PM,12/30/2015 02:05:19 PM,NYPD,New York City Police Department,Vending,Street/Sidewalk,557 BROADWAY
32301379,12/30/2015 12:17:27 PM,12/31/2015 01:30:24 AM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,105-23 90 STREET
32302641,12/30/2015 12:16:30 PM,12/30/2015 02:05:19 PM,NYPD,New York City Police Department,Vending,Street/Sidewalk,537 BROADWAY
32302691,12/30/2015 12:13:49 PM,12/30/2015 02:06:28 PM,NYPD,New York City Police Department,Vending,Street/Sidewalk,537 BROADWAY
32303730,12/30/2015 12:10:26 PM,12/30/2015 02:06:29 PM,NYPD,New York City Police Department,Vending,Street/Sidewalk,515 BROADWAY
32298599,12/30/2015 12:01:22 PM,12/30/2015 03:20:45 PM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,
32298920,12/30/2015 12:00:18 PM,12/30/2015 02:00:55 PM,NYPD,New York City Police Department,Vending,Street/Sidewalk,
32299394,12/30/2015 11:59:41 AM,12/30/2015 03:12:11 PM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,43-24 223 STREET
32303249,12/30/2015 11:57:53 AM,12/30/2015 03:11:03 PM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,3963 SAXON AVENUE
32297662,12/30/2015 11:50:05 AM,12/30/2015 04:49:13 PM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,2555 EAST 22 STREET
32298891,12/30/2015 11:48:16 AM,12/30/2015 04:46:59 PM,NYPD,New York City Police Department,Vending,Street/Sidewalk,605 WEST 181 STREET
32300353,12/30/2015 11:47:48 AM,12/30/2015 10:47:24 PM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,66-54 70 STREET
32299497,12/30/2015 11:33:42 AM,12/31/2015 04:35:55 PM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,2701 AVENUE L
32301380,12/30/2015 11:26:12 AM,12/30/2015 11:39:59 AM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,
32302320,12/30/2015 11:21:42 AM,12/30/2015 10:21:47 PM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,50-69 44 STREET
32297999,12/30/2015 11:01:18 AM,12/30/2015 02:33:45 PM,NYPD,New York City Police Department,Vending,Street/Sidewalk,
32299374,12/30/2015 10:59:48 AM,12/30/2015 11:06:10 AM,NYPD,New York City Police Department,Traffic,Street/Sidewalk,
32303695,12/30/2015 10:57:43 AM,12/30/2015 08:13:07 PM,NYPD,New York City Police Department,Vending,Street/Sidewalk,5 AVENUE
32297643,12/30/2015 10:56:45 AM,12/30/2015 01:31:55 PM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,831 CLEVELAND STREET
