MEMBERSHIP_NUMBER,MEMBERSHIP_TERM_YEARS,ANNUAL_FEES,MEMBER_MARITAL_STATUS,MEMBER_GENDER,MEMBER_ANNUAL_INCOME,MEMBER_OCCUPATION_CD,MEMBERSHIP_PACKAGE,MEMBER_AGE_AT_ISSUE,ADDITIONAL_MEMBERS,PAYMENT_MODE,AGENT_CODE,MEMBERSHIP_STATUS,START_DATE (YYYYMMDD),END_DATE  (YYYYMMDD)
A00056,17,119999.88,M,M,300000,1,TYPE-B,56,3,MONTHLY,87822,INFORCE,20071123,
A00057,12,100000,S,M,399996,5,TYPE-B,28,0,ANNUAL,38555,CANCELLED,20071026,20081225
A00058,12,100000,M,F,,4,TYPE-B,37,3,ANNUAL,1800,INFORCE,20071015,
A00059,17,100000,M,M,2100000,5,TYPE-B,57,3,ANNUAL,2344,INFORCE,20071031,
A00060,35,180001.44,M,M,380004,1,TYPE-B,39,2,MONTHLY,29322,INFORCE,20071031,
A00061,17,100000,,,,1,TYPE-B,40,0,ANNUAL,47399,INFORCE,20071019,
A00062,17,100000,M,M,999996,1,TYPE-B,34,1,ANNUAL,27355,INFORCE,20071031,
A00063,71,100000.02,,,,1,TYPE-B,40,0,ANNUAL,47399,INFORCE,20071122,
A00064,27,100000,M,M,750120,1,TYPE-B,37,2,ANNUAL,21255,INFORCE,20071030,
A00065,12,200000,M,F,,4,TYPE-B,53,1,ANNUAL,27933,CANCELLED,20071116,20090115
A00066,17,100000,M,M,750000,1,TYPE-B,44,1,ANNUAL,42555,INFORCE,20071031,
A00067,12,100000,M,M,399996,1,TYPE-B,34,3,QUARTERLY,68022,INFORCE,20071105,
A00068,12,120000.96,S,M,453996,1,TYPE-B,25,0,MONTHLY,34799,INFORCE,20071031,
A00069,17,100000,M,M,108036,1,TYPE-B,34,2,ANNUAL,91233,CANCELLED,20071114,20110113
A00070,17,200000,M,M,600000,1,TYPE-B,43,1,ANNUAL,41611,CANCELLED,20071126,20090125
A00071,17,125000,M,M,999996,1,TYPE-B,48,3,ANNUAL,41688,INFORCE,20071114,
A00072,17,100000,,,,1,TYPE-B,30,0,ANNUAL,33844,INFORCE,20071114,
A00073,44,103375,S,M,2499996,1,TYPE-B,28,0,ANNUAL,108599,INFORCE,20071127,
A00074,12,150000,S,M,300000,5,TYPE-B,23,0,ANNUAL,111799,INFORCE,20071129,
A00075,12,100000,M,M,188604,1,TYPE-B,45,2,ANNUAL,110600,INFORCE,20071120,
A00076,17,103998.96,M,M,3600000,5,TYPE-B,57,2,ANNUAL,2299,CANCELLED,20080222,20110423
A00077,17,599999.88,M,F,,4,TYPE-B,53,2,MONTHLY,87822,INFORCE,20071127,
A00078,17,251000,M,M,360000,1,TYPE-B,34,2,ANNUAL,41788,CANCELLED,20071129,20100127
A00079,12,100238.28,,,,1,TYPE-B,43,2,MONTHLY,117722,INFORCE,20071226,
A00080,57,100000.02,,,,1,TYPE-B,50,0,ANNUAL,51944,CANCELLED,20071130,20090127
A00081,17,200000,M,F,459996,1,TYPE-B,56,2,ANNUAL,20811,CANCELLED,20071217,20110215
A00082,12,201000,M,M,,6,TYPE-B,51,1,ANNUAL,119477,CANCELLED,20071130,20100127
A00083,27,100000,M,M,399996,1,TYPE-B,38,3,SEMI-ANNUAL,56900,INFORCE,20071130,
A00084,12,150000,M,M,450000,1,TYPE-B,30,3,ANNUAL,98022,INFORCE,20071128,
A00085,17,100001.76,,,,1,TYPE-B,29,0,MONTHLY,7555,CANCELLED,20071130,20110926
A00086,27,100000,S,M,240000,1,TYPE-B,25,0,SEMI-ANNUAL,31711,CANCELLED,20071130,20100727
A00087,12,125000,M,M,500004,5,TYPE-B,37,3,ANNUAL,57322,CANCELLED,20071130,20090127
A00088,12,240001.92,,,,1,TYPE-B,59,0,MONTHLY,125500,INFORCE,20071130,
A00089,17,100000,,,,4,TYPE-B,78,0,ANNUAL,41744,CANCELLED,20071130,20110127
A00090,17,100000,M,F,,4,TYPE-B,35,1,ANNUAL,105755,CANCELLED,20071231,20090226
A00091,17,100000,M,M,600000,1,TYPE-B,50,3,ANNUAL,2422,INFORCE,20071231,
A00092,17,100000,,,,1,TYPE-B,56,0,ANNUAL,37711,INFORCE,20071211,
A00093,17,100000,,,,1,TYPE-B,49,0,SEMI-ANNUAL,47399,INFORCE,20071211,
A00094,17,100000,M,M,324996,1,TYPE-B,57,2,ANNUAL,27933,CANCELLED,20071231,20090226
A00095,27,100000,M,M,1250004,5,TYPE-B,36,1,ANNUAL,7555,CANCELLED,20071220,20090218
A00096,12,150000,,,,4,TYPE-B,27,3,ANNUAL,122577,CANCELLED,20071231,20090226
A00097,17,100000,,,,1,TYPE-B,42,0,ANNUAL,3077,CANCELLED,20071217,20110215
A00098,12,119999.88,S,M,450000,1,TYPE-B,24,0,MONTHLY,91744,CANCELLED,20071224,20080422
A00099,12,105000,S,M,600000,1,TYPE-B,26,0,SEMI-ANNUAL,111433,INFORCE,20071219,
A00100,17,100000,M,F,150000,1,TYPE-B,55,2,SEMI-ANNUAL,152900,INFORCE,20071231,
A00101,12,1050000,M,M,1950000,1,TYPE-B,45,1,ANNUAL,154400,CANCELLED,20071231,20090226
A00102,17,450000,M,M,1950000,1,TYPE-B,45,1,ANNUAL,154400,CANCELLED,20071231,20090226
A00103,12,150000,W,F,324996,1,TYPE-B,43,0,ANNUAL,88799,CANCELLED,20071231,20090226
A00104,17,100000,,,,1,TYPE-B,51,0,SEMI-ANNUAL,26511,CANCELLED,20071226,20080825
A00105,12,100000,M,F,125004,1,TYPE-B,47,3,ANNUAL,119633,INFORCE,20071231,
A00106,17,200000,,,,1,TYPE-B,47,3,ANNUAL,62822,INFORCE,20080117,
A00107,27,100000,M,M,1224732,1,TYPE-B,33,1,SEMI-ANNUAL,97200,INFORCE,20071231,
A00108,17,101000,S,M,999996,5,TYPE-B,22,0,ANNUAL,70522,INFORCE,20071227,
A00109,12,100000,M,M,399996,1,TYPE-B,25,3,ANNUAL,105377,INFORCE,20071227,
A00110,17,100000,M,M,399996,1,TYPE-B,36,2,ANNUAL,11988,INFORCE,20071227,
A00111,12,240001.92,,,,1,TYPE-B,59,0,MONTHLY,125500,CANCELLED,20071227,20080626
A00112,17,100000.8,S,F,,4,TYPE-B,20,0,MONTHLY,13111,INFORCE,20071231,
A00113,17,100000,,,,1,TYPE-B,45,0,SEMI-ANNUAL,33844,INFORCE,20071231,
A00114,50,199998,M,M,600000,1,TYPE-B,34,2,SEMI-ANNUAL,130999,INFORCE,20071231,
A00115,41,100000,M,M,699996,1,TYPE-B,43,2,ANNUAL,144355,INFORCE,20071231,
A00116,12,100000,,,,1,TYPE-B,63,2,ANNUAL,19733,INFORCE,20080107,
A00117,17,100000,S,M,900000,1,TYPE-B,25,0,ANNUAL,117155,INFORCE,20071231,
A00118,12,150000,S,F,200004,1,TYPE-B,27,0,SEMI-ANNUAL,132500,INFORCE,20071231,
A00119,17,100000,M,M,6340476,5,TYPE-B,57,2,ANNUAL,105999,CANCELLED,20080124,20110325
A00120,32,200000,W,F,2000004,1,TYPE-B,52,0,ANNUAL,30633,INFORCE,20071231,
A00121,53,101000,M,M,480000,1,TYPE-B,29,1,ANNUAL,125855,CANCELLED,20071231,20090226
A00122,17,125000,,,,1,TYPE-B,49,0,ANNUAL,700,INFORCE,20071231,
A00123,43,149999,M,M,1200000,1,TYPE-B,41,1,ANNUAL,163066,CANCELLED,20071231,20090226
A00124,44,100000,M,M,360000,1,TYPE-B,40,1,ANNUAL,163066,CANCELLED,20071231,20090226
A00125,12,216000,M,M,249996,1,TYPE-B,44,2,ANNUAL,152822,INFORCE,20080104,
A00126,35,200000,M,M,8400000,1,TYPE-B,49,1,ANNUAL,700,INFORCE,20071231,
A00127,12,100000,S,M,499992,1,TYPE-B,28,0,QUARTERLY,157622,CANCELLED,20071231,20080527
A00128,41,100000,M,M,429996,1,TYPE-B,43,2,ANNUAL,48644,CANCELLED,20071231,20100226
A00129,12,100000,M,M,600000,1,TYPE-B,45,1,QUARTERLY,43711,INFORCE,20071231,
A00130,27,150000,M,M,399996,1,TYPE-B,28,3,ANNUAL,152822,INFORCE,20080104,
A00131,17,100000,S,M,200004,1,TYPE-B,38,0,ANNUAL,146166,CANCELLED,20080110,20090311
A00132,61,100000,S,M,350004,1,TYPE-B,21,0,ANNUAL,112877,CANCELLED,20071231,20100226
A00133,33,120000.96,M,M,500004,1,TYPE-B,51,1,MONTHLY,121044,INFORCE,20071231,
A00134,41,300000,M,M,1023996,1,TYPE-B,43,2,QUARTERLY,143100,CANCELLED,20071231,20081127
A00135,28,460000,M,M,999996,1,TYPE-B,56,1,SEMI-ANNUAL,86244,CANCELLED,20080131,20090226
A00136,51,250000,M,M,500004,1,TYPE-B,33,1,ANNUAL,128111,CANCELLED,20071231,20090226
A00137,12,120000.96,M,F,279996,1,TYPE-B,29,1,MONTHLY,21144,INFORCE,20080104,
A00138,17,100000,M,F,,4,TYPE-B,38,1,ANNUAL,37900,CANCELLED,20080314,20110513
A00139,22,100000,S,M,200004,1,TYPE-B,26,0,ANNUAL,109299,INFORCE,20080109,
A00140,41,102000.72,M,M,2000004,1,TYPE-B,34,3,MONTHLY,32688,INFORCE,20080130,
A00141,17,100000,M,M,9999996,1,TYPE-B,49,1,ANNUAL,49188,CANCELLED,20080225,20090424
A00142,17,132002.04,M,M,324996,1,TYPE-B,54,2,MONTHLY,130499,INFORCE,20080218,
A00143,17,100000,M,M,999996,1,TYPE-B,39,3,ANNUAL,121544,INFORCE,20080114,
A00144,22,100005,M,F,300000,1,TYPE-B,34,2,ANNUAL,20188,INFORCE,20080110,
A00145,17,100000,M,F,360000,1,TYPE-B,27,2,ANNUAL,159500,CANCELLED,20080114,20090315
A00146,54,100000,M,M,450000,1,TYPE-B,29,2,ANNUAL,104099,INFORCE,20080116,
A00147,17,100000,M,M,230004,1,TYPE-B,47,1,ANNUAL,163966,INFORCE,20080313,
A00148,40,100000,M,M,399996,1,TYPE-B,45,3,ANNUAL,98011,INFORCE,20080115,
A00149,22,100005,M,M,500004,1,TYPE-B,36,1,ANNUAL,20188,INFORCE,20080123,
A00150,12,100000.8,S,M,150000,1,TYPE-B,33,0,MONTHLY,67766,CANCELLED,20080124,20080523
A00151,12,108000.84,S,M,600000,1,TYPE-B,27,0,MONTHLY,87111,INFORCE,20080118,
A00152,53,150000,,,,1,TYPE-B,66,3,ANNUAL,39722,INFORCE,20080118,
A00153,58,175000,S,M,300000,1,TYPE-B,25,0,ANNUAL,158600,CANCELLED,20080129,20090322
A00154,12,101250.72,,,,1,TYPE-B,43,2,MONTHLY,67744,INFORCE,20080201,
A00155,27,110250,,,,1,TYPE-B,66,3,ANNUAL,156299,CANCELLED,20080122,20100323
A00156,17,100000,M,M,249996,1,TYPE-B,36,2,SEMI-ANNUAL,163966,CANCELLED,20080307,20081106
A00157,12,100000,M,M,249996,1,TYPE-B,28,1,QUARTERLY,43444,CANCELLED,20080205,20080704
A00158,36,200000,S,M,249996,1,TYPE-B,49,0,ANNUAL,138366,CANCELLED,20080122,20100323
A00159,34,100000,M,F,300000,1,TYPE-B,51,2,ANNUAL,138500,INFORCE,20080122,
A00160,46,100000,M,M,290004,1,TYPE-B,39,3,ANNUAL,126977,CANCELLED,20080123,20110324
A00161,41,100000,M,M,600000,1,TYPE-B,44,1,ANNUAL,28711,CANCELLED,20080124,20110325
A00162,17,100000,M,F,,4,TYPE-B,50,2,SEMI-ANNUAL,100533,INFORCE,20080304,
A00163,29,120000,M,F,300000,1,TYPE-B,56,1,QUARTERLY,54100,INFORCE,20080130,
A00164,17,100000,M,M,249996,1,TYPE-B,56,1,SEMI-ANNUAL,100533,INFORCE,20080219,
A00165,59,100000,,,,1,TYPE-B,53,0,ANNUAL,97477,INFORCE,20080124,
A00166,40,100000,M,F,800004,1,TYPE-B,45,3,ANNUAL,143400,INFORCE,20080124,
A00167,17,100000,M,M,3750000,1,TYPE-B,38,1,ANNUAL,150566,INFORCE,20080131,
A00168,40,300001,M,F,1080000,1,TYPE-B,45,3,ANNUAL,138366,CANCELLED,20080124,20100325
A00169,42,200000,S,F,600000,1,TYPE-B,43,0,ANNUAL,138366,CANCELLED,20080124,20100325
A00170,55,100000,M,M,450000,1,TYPE-B,28,1,ANNUAL,149099,CANCELLED,20080124,20090325
A00171,42,200000,M,M,1800000,1,TYPE-B,43,2,ANNUAL,121133,INFORCE,20080125,
A00172,42,200000,M,M,1800000,1,TYPE-B,43,2,ANNUAL,121133,INFORCE,20080125,
A00173,12,100000,M,F,,4,TYPE-B,38,2,ANNUAL,174766,INFORCE,20080125,
A00174,49,126351.88,M,M,120000,1,TYPE-B,36,1,QUARTERLY,45422,INFORCE,20080125,
A00175,45,125000,M,F,375000,1,TYPE-B,40,1,ANNUAL,44900,CANCELLED,20080128,20090329
A00176,43,200000,M,M,800004,1,TYPE-B,41,3,ANNUAL,44900,CANCELLED,20080128,20090329
A00177,12,100000,M,M,,6,TYPE-B,61,3,ANNUAL,140400,INFORCE,20080221,
A00178,17,100000,S,M,420000,1,TYPE-B,26,0,QUARTERLY,170200,INFORCE,20080128,
A00179,32,103950,M,M,240000,1,TYPE-B,53,2,ANNUAL,109111,CANCELLED,20080130,20090329
A00180,45,102102.53,M,M,300000,1,TYPE-B,40,3,ANNUAL,36677,INFORCE,20080129,
A00181,17,100000,M,F,,4,TYPE-B,24,3,ANNUAL,160111,INFORCE,20080211,
A00182,48,100000,M,M,300000,5,TYPE-B,37,3,ANNUAL,99966,CANCELLED,20080129,20090329
A00183,12,100000,M,F,399996,1,TYPE-B,38,1,ANNUAL,174766,CANCELLED,20080205,20090406
A00184,12,120000.12,M,F,,4,TYPE-B,41,2,MONTHLY,57844,INFORCE,20080131,
A00185,22,100000,M,F,,4,TYPE-B,35,2,SEMI-ANNUAL,149244,CANCELLED,20080310,20080926
A00186,23,700035,M,M,23799996,1,TYPE-B,52,3,ANNUAL,43688,INFORCE,20080131,
A00187,12,120000.96,M,M,450000,1,TYPE-B,46,3,MONTHLY,57844,INFORCE,20080131,
A00188,12,100000,M,M,300000,1,TYPE-B,48,1,QUARTERLY,49633,CANCELLED,20080129,20080627
A00189,40,100000,,,,5,TYPE-B,69,3,ANNUAL,163066,CANCELLED,20080130,20090329
A00190,12,120000.96,S,M,300000,1,TYPE-B,28,0,MONTHLY,110622,CANCELLED,20080129,20080527
A00191,43,1000000,M,M,6000000,1,TYPE-B,42,2,ANNUAL,187377,INFORCE,20080129,
A00192,44,1000000,M,F,300000,1,TYPE-B,41,3,ANNUAL,186899,INFORCE,20080129,
A00193,12,511000,S,M,1700004,1,TYPE-B,30,0,ANNUAL,111233,INFORCE,20080131,
A00194,41,100000,M,M,420000,1,TYPE-B,44,1,ANNUAL,105755,INFORCE,20080131,
A00195,64,100000,,,,1,TYPE-B,48,0,ANNUAL,49033,INFORCE,20080130,
A00196,41,100000,M,F,900000,1,TYPE-B,44,2,ANNUAL,143477,CANCELLED,20080130,20090329
A00197,17,100000.8,S,M,500004,1,TYPE-B,28,0,MONTHLY,200533,INFORCE,20080131,
A00198,42,100000,M,M,399996,1,TYPE-B,43,2,SEMI-ANNUAL,187199,CANCELLED,20080131,20110926
A00199,12,150000,M,M,600000,1,TYPE-B,30,3,SEMI-ANNUAL,3455,INFORCE,20080201,
A00200,17,100000,,,,1,TYPE-B,44,0,ANNUAL,96455,INFORCE,20080215,
A00201,12,100000,M,M,2499996,1,TYPE-B,40,3,ANNUAL,11477,INFORCE,20080204,
A00202,51,199500,M,M,218004,1,TYPE-B,34,1,ANNUAL,98011,INFORCE,20080201,
A00203,52,100000,M,M,2799996,1,TYPE-B,33,3,SEMI-ANNUAL,149988,INFORCE,20080201,
A00204,49,100000,M,M,360000,1,TYPE-B,36,2,SEMI-ANNUAL,187388,INFORCE,20080201,
A00205,62,125000,S,M,420000,1,TYPE-B,21,0,ANNUAL,149099,INFORCE,20080204,
A00206,41,100000,M,F,450000,1,TYPE-B,44,3,ANNUAL,121133,CANCELLED,20080205,20110406
A00207,12,100000,M,M,180000,5,TYPE-B,43,2,ANNUAL,123033,CANCELLED,20080206,20090407
A00208,45,200000,M,M,600000,1,TYPE-B,40,2,SEMI-ANNUAL,114166,INFORCE,20080207,
A00209,12,100000,M,M,300000,1,TYPE-B,28,1,SEMI-ANNUAL,54855,CANCELLED,20080211,20081010
A00210,17,100000,M,M,500004,1,TYPE-B,51,2,QUARTERLY,145688,INFORCE,20080221,
A00211,12,100000.8,S,M,500004,1,TYPE-B,27,0,MONTHLY,51166,INFORCE,20080211,
A00212,12,108000.84,M,M,600000,1,TYPE-B,29,3,MONTHLY,120411,INFORCE,20080208,
A00213,17,130000,M,M,500004,1,TYPE-B,49,1,ANNUAL,128133,INFORCE,20080221,
A00214,31,120000.96,M,M,399996,1,TYPE-B,54,2,MONTHLY,17277,INFORCE,20080208,
A00215,17,100000,M,M,350004,1,TYPE-B,39,3,ANNUAL,125455,CANCELLED,20080225,20110424
A00216,17,100000,M,F,249996,1,TYPE-B,42,1,ANNUAL,179166,INFORCE,20080220,
A00217,12,108000.84,,,,1,TYPE-B,29,2,MONTHLY,120411,INFORCE,20080211,
A00218,45,250000,M,M,500004,1,TYPE-B,40,2,ANNUAL,149099,INFORCE,20080213,
A00219,31,100000,M,M,275004,1,TYPE-B,44,3,ANNUAL,10077,INFORCE,20080219,
A00220,56,240001.92,S,M,800004,1,TYPE-B,27,0,MONTHLY,136888,CANCELLED,20080212,20100111
A00221,32,100000,M,M,600000,1,TYPE-B,53,2,ANNUAL,138722,INFORCE,20080213,
A00222,12,100000,S,M,399996,1,TYPE-B,24,0,ANNUAL,120411,INFORCE,20080212,
A00223,12,200000,S,M,999996,1,TYPE-B,33,0,QUARTERLY,138011,CANCELLED,20080214,20090113
A00224,12,100000,S,M,249996,1,TYPE-B,26,0,SEMI-ANNUAL,13799,INFORCE,20080214,
A00225,17,100000,M,F,,4,TYPE-B,25,1,QUARTERLY,162600,INFORCE,20080229,
A00226,17,143999.88,M,M,350004,1,TYPE-B,57,2,MONTHLY,61088,CANCELLED,20080226,20081025
A00227,39,240000,M,M,600000,1,TYPE-B,46,3,MONTHLY,109655,INFORCE,20080215,
A00228,52,102000.84,M,M,500004,1,TYPE-B,30,3,MONTHLY,114211,CANCELLED,20080215,20080614
A00229,29,200000,M,F,849996,1,TYPE-B,56,1,ANNUAL,66088,INFORCE,20080215,
A00230,61,150000,,,,1,TYPE-B,66,0,SEMI-ANNUAL,121422,CANCELLED,20080215,20091013
A00231,12,100000,M,M,,6,TYPE-B,58,3,ANNUAL,44811,INFORCE,20080225,
A00232,34,100000,M,M,399996,1,TYPE-B,50,1,ANNUAL,1477,INFORCE,20080229,
A00233,34,100000,M,M,399996,1,TYPE-B,50,3,ANNUAL,178377,INFORCE,20080218,
A00234,50,150000,M,M,720000,1,TYPE-B,35,3,ANNUAL,186899,INFORCE,20080219,
A00235,27,200001.6,M,M,4500000,1,TYPE-B,45,1,MONTHLY,200533,INFORCE,20080227,
A00236,12,150001.2,M,M,380004,1,TYPE-B,42,1,MONTHLY,110622,CANCELLED,20080218,20080617
A00237,12,100000,M,M,170004,5,TYPE-B,46,3,ANNUAL,119633,INFORCE,20080220,
A00238,12,100000,M,F,,4,TYPE-B,35,2,ANNUAL,152833,INFORCE,20080219,
A00239,17,100000,,,,1,TYPE-B,48,0,ANNUAL,185333,INFORCE,20080220,
A00240,12,100000,M,M,429996,1,TYPE-B,41,1,ANNUAL,17277,INFORCE,20080220,
A00241,51,199996,S,M,699996,1,TYPE-B,34,0,QUARTERLY,53611,CANCELLED,20080221,20080720
A00242,29,100000,M,M,500004,1,TYPE-B,56,1,ANNUAL,54100,INFORCE,20080221,
A00243,17,100000,M,M,249996,1,TYPE-B,56,2,SEMI-ANNUAL,100533,INFORCE,20080222,
A00244,17,100000,,,,1,TYPE-B,68,0,ANNUAL,17277,INFORCE,20080221,
A00245,12,100000,M,F,200004,1,TYPE-B,37,1,SEMI-ANNUAL,112988,INFORCE,20080225,
A00246,36,100000,W,F,360000,1,TYPE-B,48,0,ANNUAL,95099,INFORCE,20080225,
A00247,12,101250.72,,,,1,TYPE-B,43,2,MONTHLY,67744,CANCELLED,20080226,20080625
A00248,27,100000,M,M,380004,1,TYPE-B,28,1,ANNUAL,142088,CANCELLED,20080306,20110505
A00249,17,200000,M,M,2000004,1,TYPE-B,33,2,ANNUAL,192766,INFORCE,20080430,
A00250,57,100000.8,S,M,150000,1,TYPE-B,26,0,MONTHLY,67766,INFORCE,20080227,
A00251,64,120000.96,S,F,420000,1,TYPE-B,19,0,MONTHLY,13944,INFORCE,20080226,
A00252,17,100000,M,M,375000,1,TYPE-B,35,3,QUARTERLY,166177,INFORCE,20080227,
A00253,17,101000,S,M,360000,1,TYPE-B,28,0,ANNUAL,184300,INFORCE,20080226,
A00254,27,200000,M,M,500004,1,TYPE-B,36,3,SEMI-ANNUAL,186899,INFORCE,20080229,
A00255,27,100000,M,M,500004,1,TYPE-B,33,2,SEMI-ANNUAL,186899,INFORCE,20080229,
A00256,55,100000.8,S,M,200004,1,TYPE-B,28,0,MONTHLY,67766,INFORCE,20080227,
A00257,12,100000,M,M,300000,1,TYPE-B,38,2,SEMI-ANNUAL,197666,INFORCE,20080229,
A00258,12,199007.88,M,F,519996,1,TYPE-B,30,3,MONTHLY,89800,CANCELLED,20080227,20080626
A00259,44,500000,M,M,1500000,1,TYPE-B,41,3,ANNUAL,168777,INFORCE,20080228,
A00260,12,150000,M,M,300000,1,TYPE-B,44,3,SEMI-ANNUAL,85622,INFORCE,20080229,
