name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Chicago,2016-01-24,1.6,-4.3,-1.6,-0.6,-10.9,-5.8,-6.6,68.9,0,0,0,,0,0,35.6,25.3,213.6,1016.1,77.7,14.5,86.1,7.3,3,,2016-01-24T07:10:36,2016-01-24T16:54:54,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
Chicago,2016-01-25,5.3,-2.1,1.6,1.1,-6.1,-2.3,-2.2,76.1,1.41,100,25,rain,0,0,48.8,34.8,184,1009.3,90.7,12.2,60.3,5.3,4,,2016-01-25T07:09:50,2016-01-25T16:56:09,0.52,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
Chicago,2016-01-26,3.2,-3.2,-0.8,-2.5,-8.5,-7,-4.9,74.1,1.55,100,20.83,"rain,snow",0,0,53.7,34.2,266.1,1016.1,92.5,13.8,85.3,7.2,4,,2016-01-26T07:09:01,2016-01-26T16:57:25,0.53,"Snow, Rain, Overcast",Cloudy skies throughout the day with early morning snow or rain.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
Chicago,2016-01-27,1,-3.8,-1.2,-4.3,-8.5,-6.5,-7.6,62.2,0,0,0,,0,0,52.6,33.5,228.3,1020.8,79.9,15.9,99.1,8.6,5,,2016-01-27T07:08:11,2016-01-27T16:58:41,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
Chicago,2016-01-28,4.7,-0.9,1.6,-0.1,-6.9,-3.6,-3.7,67.7,0,0,0,,0,0,48.1,28,275.2,1006.7,72.8,15.9,97.7,8.5,4,,2016-01-28T07:07:19,2016-01-28T16:59:58,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
Chicago,2016-01-29,1.9,-5.2,-1,-2.5,-9.8,-5.6,-9.6,52.7,0,0,0,,0,0,42.5,26.9,211.4,1013.3,73.9,16,130.6,11.3,5,,2016-01-29T07:06:25,2016-01-29T17:01:15,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
Chicago,2016-01-30,8.4,2.1,5.1,6.7,-2.8,2.1,0,70.2,0,0,0,,0,0,40.1,26.6,218.5,1005.2,73.5,15.9,69.8,6.1,4,,2016-01-30T07:05:29,2016-01-30T17:02:32,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
Chicago,2016-01-31,8.9,1.5,5.7,6.5,-2.4,2.9,3.7,87,1.01,100,25,rain,0,0,37.1,22.5,243,1003,89.1,12,30.9,2.6,2,,2016-01-31T07:04:31,2016-01-31T17:03:49,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
Chicago,2016-02-01,8,-0.6,2.5,7,-4.5,0.5,-1.3,77.4,0,0,0,,0,0,,12.5,277.4,1016.7,54.9,15.1,116.4,10.1,5,,2016-02-01T07:03:32,2016-02-01T17:05:06,0.77,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
Chicago,2016-02-02,3.8,1.4,2.6,3.2,-3,-1.2,0.7,87.1,18.22,100,50,rain,0,0,59.1,32.8,74.8,1010.1,96.2,6.5,54.1,4.7,3,,2016-02-02T07:02:31,2016-02-02T17:06:23,0.82,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
Chicago,2016-02-03,3.4,-1.4,1.7,3.2,-7.1,-3,-0.9,83.3,0.38,100,25,"rain,snow",0,0,44.4,30.6,254.6,1005.9,81.1,12,78.3,6.9,3,,2016-02-03T07:01:28,2016-02-03T17:07:41,0.87,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
Chicago,2016-02-04,-0.2,-6.3,-2.6,-4,-12.8,-7.7,-9,62.3,0,0,0,,0,0,,22.2,252.7,1023.7,66.5,15.7,137.5,11.8,6,,2016-02-04T07:00:23,2016-02-04T17:08:58,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
Chicago,2016-02-05,1,-2.5,-1.1,-2.5,-6.4,-4.7,-6.1,69.5,0.12,100,4.17,snow,0,0,,19.3,267.5,1027.8,84.6,15.3,71.9,6.1,3,,2016-02-05T06:59:17,2016-02-05T17:10:16,0.95,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
Chicago,2016-02-06,5.4,-3.2,0.6,2,-7.8,-3.1,-4.4,70.3,0,0,0,,0,0,33.5,23.1,222.5,1024.1,50.3,14.7,145.6,12.5,6,,2016-02-06T06:58:09,2016-02-06T17:11:33,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
Chicago,2016-02-07,7.1,1.4,4.3,2.7,-2.1,0.3,-1.8,65,0,0,0,,0,0,46.4,31.8,229.7,1010.6,72,15.9,97.1,8.2,4,,2016-02-07T06:56:59,2016-02-07T17:12:50,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
Chicago,2016-02-08,0.8,-4.9,-1.5,-2.9,-11.8,-6.6,-5.5,74.4,0.48,100,20.83,"rain,snow",0,0,35.3,22.5,280.7,1006,82.2,14.4,112,9.5,5,,2016-02-08T06:55:48,2016-02-08T17:14:07,1,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
Chicago,2016-02-09,-5.5,-9.6,-7.9,-11.9,-18.1,-15.5,-12.5,69.5,0.66,100,45.83,snow,1,0.6,40.7,28.9,310.8,1011.8,96.5,10.3,60.3,5.2,2,,2016-02-09T06:54:36,2016-02-09T17:15:25,0.01,"Snow, Overcast",Cloudy skies throughout the day with a chance of snow throughout the day.,snow,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
Chicago,2016-02-10,-7.5,-12,-10,-15,-20.5,-17.4,-17.1,56.2,0,0,0,,0,1,40.7,26.9,311.1,1018.9,58.3,16,133.8,11.3,5,,2016-02-10T06:53:22,2016-02-10T17:16:42,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
Chicago,2016-02-11,-5.4,-13.2,-9.1,-5.4,-20.4,-14.4,-17.7,50.4,0,0,0,,0,1,,16.6,312.2,1026.7,36.7,16,166.3,14.4,6,,2016-02-11T06:52:06,2016-02-11T17:17:58,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
Chicago,2016-02-12,-4.9,-12.6,-7.1,-11,-23.2,-14.7,-16,50,0,0,0,,0,0.4,55.2,39.1,303.5,1025,70.3,15.9,78.7,6.7,3,,2016-02-12T06:50:50,2016-02-12T17:19:15,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
Chicago,2016-02-13,-7.6,-16,-11.8,-10,-24.8,-18.3,-22.2,42.1,0,0,0,,0,0,40.7,28.9,316.9,1035.9,27.4,16,173.3,14.9,6,,2016-02-13T06:49:32,2016-02-13T17:20:31,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
Chicago,2016-02-14,-7.4,-11.3,-8.8,-13.7,-17.9,-15.8,-14.6,63.9,1.08,100,25,snow,0,0,38.9,24.9,135.4,1025.8,85,11.1,52.6,4.7,2,,2016-02-14T06:48:12,2016-02-14T17:21:48,0.2,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
Chicago,2016-02-15,-2,-7.4,-4.5,-5.5,-13.2,-8.9,-6.6,85,0.2,100,12.5,snow,6,3.5,,14.7,215.7,1013.4,100,6.8,82.3,7.1,3,,2016-02-15T06:46:52,2016-02-15T17:23:04,0.26,"Snow, Overcast",Cloudy skies throughout the day with late afternoon snow.,snow,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
Chicago,2016-02-16,1.6,-3.6,-1.5,1.6,-7.6,-4,-5,77.2,2.47,100,29.17,"rain,snow",0,4.2,,16.3,305.7,1011.9,95.4,10.3,157.7,13.8,6,,2016-02-16T06:45:30,2016-02-16T17:24:19,0.32,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
Chicago,2016-02-17,1.4,-3.6,-1.6,1.4,-8.5,-5,-7.3,66.1,0,0,0,,0,0.6,,16.6,355.7,1024.2,47.3,14.2,172.3,14.9,6,,2016-02-17T06:44:07,2016-02-17T17:25:35,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
Chicago,2016-02-18,5.4,-3.8,1.3,1.1,-8.9,-3.5,-4.4,66,0,0,0,,0,0,55.9,36.8,144.1,1025,85.9,15.6,77.7,6.7,3,,2016-02-18T06:42:42,2016-02-18T17:26:50,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
Chicago,2016-02-19,17,5,10.8,17,0.1,9.1,2.1,55.4,0,0,0,,0,0,90.5,59.3,222.7,1005.3,55,16,155.8,13.6,6,,2016-02-19T06:41:17,2016-02-19T17:28:05,0.45,Partially cloudy,Partly cloudy throughout the day.,wind,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
Chicago,2016-02-20,14.5,5.7,9.8,14.5,3,8.2,-0.5,49.8,0,0,0,,0,0,51.9,30.1,257.5,1012,44,16,177,15.3,6,,2016-02-20T06:39:51,2016-02-20T17:29:20,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
Chicago,2016-02-21,6,1.5,3.6,3.4,-2.9,-0.1,-1.3,70.2,0,0,0,,0,0,33.5,21.7,20.4,1020.2,91,16,127.6,11.1,5,,2016-02-21T06:38:23,2016-02-21T17:30:34,0.49,Overcast,Cloudy skies throughout the day.,cloudy,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
Chicago,2016-02-22,6.6,-2,2.4,5.9,-2,1.1,-3.2,67.5,0,0,0,,0,0,,15,67.4,1022.1,61,16,175.6,15.3,7,,2016-02-22T06:36:55,2016-02-22T17:31:48,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
Chicago,2016-02-23,7,-0.8,2.8,4.1,-2.9,0.2,-3.8,63.9,0.21,100,4.17,rain,0,0,,23,52.7,1019.2,65,15.2,132.6,11.5,5,,2016-02-23T06:35:25,2016-02-23T17:33:02,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
Chicago,2016-02-24,3.3,0.1,1.7,-1.5,-7.2,-4.9,-2.7,73.1,1.54,100,50,"rain,snow",0,0,70.7,50.5,9.4,1005.8,94.5,9.2,41.3,3.6,2,,2016-02-24T06:33:55,2016-02-24T17:34:15,0.52,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
Chicago,2016-02-25,2.8,-0.2,1.1,-2.6,-6.4,-4.8,-5.9,60,0.04,100,4.17,"rain,snow",0,0,51.8,36.7,330.2,1014.7,99,14.8,106.8,9.2,4,,2016-02-25T06:32:23,2016-02-25T17:35:29,0.53,"Snow, Rain, Overcast",Cloudy skies throughout the day with early morning snow or rain.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
Chicago,2016-02-26,1,-2.5,0,-2.9,-6.3,-4.4,-8.5,53.4,0,0,0,,0,0,29.5,22.6,283.7,1023.6,85,16,140.5,12.1,5,,2016-02-26T06:30:51,2016-02-26T17:36:41,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
Chicago,2016-02-27,12.6,-2.1,5.1,12.6,-7.2,1.8,-2.8,58.8,0,0,0,,0,0,48.4,29.6,216.1,1014.1,39.8,16,188.5,16.3,7,,2016-02-27T06:29:18,2016-02-27T17:37:54,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
Chicago,2016-02-28,17.3,3,10.8,17.3,-3,8.6,2.7,57.8,3.07,100,16.67,rain,0,0,62.8,40.6,236.4,1001.8,72,15.9,154.6,13.3,7,,2016-02-28T06:27:44,2016-02-28T17:39:06,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
Chicago,2016-02-29,11.7,-1.2,3.7,11.7,-7.5,-0.6,-3.1,62.2,0.1,100,4.17,"rain,snow",0,0,48.8,32.9,291.9,1013.2,81.6,16,155.6,13.5,6,,2016-02-29T06:26:10,2016-02-29T17:40:18,0.68,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
Chicago,2016-03-01,-0.5,-6.6,-3,-6.5,-14.3,-10,-6.4,77.4,1.35,100,29.17,"rain,snow",0,0,54.7,36.5,10.3,1013.2,90.1,12.5,53.5,4.8,2,,2016-03-01T06:24:35,2016-03-01T17:41:30,0.73,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
Chicago,2016-03-02,0.1,-9.6,-4,0.1,-14.7,-8.2,-13.7,48.3,0,0,0,,2.3,1.4,,17.1,254.6,1021.7,42.3,15.9,208.9,18,7,,2016-03-02T06:22:59,2016-03-02T17:42:41,0.78,Partially cloudy,Partly cloudy throughout the day.,snow,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
Chicago,2016-03-03,0.4,-1.8,-0.7,-1.8,-6.1,-5,-3.5,81.5,1.49,100,41.67,"rain,snow",0,1.5,,21.8,59.4,1019.3,100,8.4,85,7.3,3,,2016-03-03T06:21:22,2016-03-03T17:43:52,0.83,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
Chicago,2016-03-04,3.7,-5.6,-0.4,2,-9.5,-3.9,-7.2,60.7,0.87,100,8.33,"rain,snow",0,1,33.5,18.5,210.6,1022.2,55.7,14.8,200.3,17.3,7,,2016-03-04T06:19:45,2016-03-04T17:45:03,0.88,"Snow, Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain or snow.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
Chicago,2016-03-05,4.1,-1.6,1.8,2.5,-6.3,-1.5,-1.7,77.6,0,0,0,,0,0.8,,19.4,317.3,1020.3,100,11.4,101.2,8.8,4,,2016-03-05T06:18:07,2016-03-05T17:46:14,0.92,Overcast,Cloudy skies throughout the day.,cloudy,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
Chicago,2016-03-06,11,1.8,6,11,-3,3.2,-0.5,63.7,0,0,0,,0,0.1,47.8,32,189.7,1020.4,85,15.2,169.8,14.6,7,,2016-03-06T06:16:28,2016-03-06T17:47:24,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
Chicago,2016-03-07,16.6,8.4,12.7,16.6,5.1,11.7,5.1,60.4,0.18,100,8.33,rain,0,0,40.7,26.9,191.9,1011.9,85.3,16,119.5,10.4,5,,2016-03-07T06:14:50,2016-03-07T17:48:34,0.99,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
Chicago,2016-03-08,21.7,15,17.7,21.7,15,17.7,10.3,62.3,0,0,0,,0,0,51.8,36.5,200.8,1011.4,80.1,16,151,13,7,,2016-03-08T06:13:10,2016-03-08T17:49:44,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
Chicago,2016-03-09,17.6,12,15.5,17.6,12,15.5,11.8,78.9,2.85,100,41.67,rain,0,0,37.1,22.4,225.9,1011.9,95.8,15.3,94.3,8.1,3,,2016-03-09T06:11:30,2016-03-09T17:50:53,0,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
Chicago,2016-03-10,11.1,5.5,8.2,11.1,2.9,6.2,3.1,70.3,0,0,0,,0,0,,22.5,24.3,1019.3,95.5,15.8,97.3,8.5,4,,2016-03-10T06:09:50,2016-03-10T17:52:03,0.02,Overcast,Cloudy skies throughout the day.,cloudy,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
Chicago,2016-03-11,11.5,3.1,5.9,11.5,1.2,4.4,0.3,68.8,0,0,0,,0,0,,16.1,76.9,1027.4,59.8,15.9,210.6,18.3,8,,2016-03-11T06:08:09,2016-03-11T17:53:12,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
Chicago,2016-03-12,15,3.3,8.4,15,2.5,8,4.1,75,0,0,0,,0,0,,16.9,75.2,1020.4,85.9,11,125.8,10.9,5,,2016-03-12T06:06:28,2016-03-12T17:54:20,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
